geoid,Centx,Centy
481130059011,-96.81102,32.703985
481130086031,-96.775483,32.720917
481130087014,-96.765287,32.700149
481130087015,-96.759062,32.696507
481130087042,-96.774885,32.694848
481130088012,-96.794063,32.71662
481130088024,-96.792121,32.70485
481130055003,-96.80594,32.724953
481130056002,-96.818538,32.710214
481130059014,-96.805517,32.690274
481130086042,-96.766099,32.720188
481130087011,-96.772024,32.710323
481130087013,-96.769069,32.703895
481130088013,-96.800989,32.714055
481130088021,-96.782507,32.715069
481130113001,-96.796699,32.669471
481130202001,-96.748522,32.713743
481130092011,-96.670931,32.7463
481130092015,-96.66857,32.736084
481130092023,-96.674627,32.721325
481130093011,-96.686208,32.726738
481130093013,-96.699571,32.730407
481130093032,-96.714945,32.72339
481130093043,-96.715474,32.714747
481130115004,-96.75193,32.740669
481130116021,-96.664996,32.700802
481130090003,-96.67811,32.752331
481130091031,-96.70469,32.741457
481130092012,-96.677923,32.745326
481130092014,-96.668968,32.740588
481130093042,-96.696291,32.716767
481130091053,-96.687241,32.738836
481130092021,-96.669954,32.729577
481130093031,-96.710538,32.72741
481130093033,-96.70908,32.723418
481130091041,-96.695854,32.744968
481130091052,-96.691931,32.737243
481130117011,-96.652378,32.714397
481130117023,-96.638871,32.701964
481130119006,-96.644029,32.745389
481130116012,-96.685039,32.698329
481130117013,-96.676734,32.716012
481130117014,-96.652949,32.704857
481130118005,-96.641834,32.724263
481130120001,-96.660575,32.753973
481130091032,-96.704313,32.736501
481130092013,-96.677759,32.738935
481130092022,-96.677678,32.728653
481130093012,-96.691406,32.727912
481130093041,-96.690797,32.715233
481130090004,-96.667416,32.751645
481130091042,-96.687751,32.74599
481130116013,-96.702762,32.710116
481130116022,-96.675805,32.694895
481130117022,-96.643846,32.712253
481130118002,-96.645393,32.728408
481130119004,-96.652305,32.738826
481130091051,-96.697017,32.738135
481130119003,-96.659641,32.740089
481130120003,-96.652519,32.753778
481130120004,-96.652388,32.752341
481130116023,-96.649657,32.685175
481130116024,-96.677484,32.706591
481130093044,-96.704181,32.71613
481130116011,-96.691168,32.709635
481130118003,-96.652608,32.726326
481130119002,-96.652991,32.745178
481130117012,-96.66155,32.711296
481130118004,-96.660895,32.725484
481130119001,-96.644109,32.738762
481130171022,-96.64738,32.66765
481130176051,-96.644768,32.752539
481130096031,-96.834039,32.912776
481130096081,-96.842183,32.913056
481130098021,-96.859953,32.877816
481130094013,-96.851378,32.877759
481130094022,-96.842895,32.875657
481130096073,-96.867472,32.898959
481130096093,-96.851095,32.898817
481130096112,-96.876947,32.901682
481130096113,-96.876984,32.897344
481130097013,-96.872453,32.883968
481130076011,-96.828198,32.889735
481130096033,-96.824644,32.914763
481130096072,-96.86778,32.905432
481130096092,-96.851249,32.905688
481130096094,-96.842496,32.898695
481130096101,-96.881802,32.906276
481130097012,-96.881402,32.891628
481130097021,-96.860442,32.884156
481130098031,-96.870552,32.878835
481130099002,-96.909185,32.893834
481130076051,-96.815133,32.887352
481130076012,-96.832179,32.883762
481130096103,-96.884187,32.905159
481130096111,-96.876091,32.906535
481130097022,-96.863567,32.890627
481130096071,-96.859585,32.901801
481130096091,-96.842135,32.906083
481130097011,-96.875891,32.891566
481130096102,-96.883465,32.90317
481130095001,-96.847961,32.884759
481130095002,-96.847275,32.891435
481130076052,-96.806496,32.886901
481130134001,-96.81534,32.900735
481130135002,-96.836084,32.905839
481130206002,-96.830358,32.872463
481130135001,-96.824252,32.900594
481130096031,-96.834039,32.912776
481130096081,-96.842183,32.913056
481130096032,-96.830414,32.921926
481130096082,-96.842491,32.919138
481130096033,-96.824644,32.914763
481130096083,-96.850726,32.915273
481130096051,-96.863071,32.913339
481130096052,-96.860034,32.911701
481130134001,-96.81534,32.900735
481130096044,-96.813201,32.923521
481130134002,-96.808331,32.903117
481130131013b,-96.781784,32.897752
481130131052,-96.773103,32.893695
481130078011,-96.784453,32.871088
481130076043,-96.799739,32.887013
481130096041a,-96.806469,32.919504
481130096041b,-96.807946,32.922647
481130096042,-96.814008,32.919938
481130076041,-96.791725,32.890449
481130076042,-96.791405,32.883269
481130131022,-96.782349,32.890686
481130133002,-96.796372,32.898595
481130096043,-96.81,32.914079
481130131021,-96.7807,32.883489
481130131012,-96.783688,32.904936
481130133001,-96.795266,32.905587
481130131041,-96.775745,32.882864
481130131054,-96.770617,32.894187
481130131053,-96.77515,32.893503
481130132002,-96.771885,32.917802
481130132003,-96.782777,32.915946
481130076052,-96.806496,32.886901
481130132004,-96.794397,32.913187
481130078012,-96.782133,32.876243
481130131013a,-96.771616,32.898657
481130131051,-96.773597,32.889765
481130132001,-96.795013,32.92007
481130131011,-96.775617,32.904781
481130131042,-96.77266,32.885349
481130098021,-96.859953,32.877816
481130098041,-96.867013,32.873859
481130072023,-96.86595,32.859256
481130072025,-96.863401,32.862895
481130073021,-96.841908,32.856409
481130094013,-96.851378,32.877759
481130094022,-96.842895,32.875657
481130097013,-96.872453,32.883968
481130098024,-96.862799,32.870262
481130098044,-96.87243,32.874732
481130072022,-96.866977,32.86136
481130073023,-96.830609,32.858762
481130098022,-96.862775,32.873551
481130098042,-96.869331,32.87224
481130098031,-96.870552,32.878835
481130099002,-96.909185,32.893834
481130004063,-96.859525,32.838227
481130072011,-96.874314,32.863751
481130072012,-96.870345,32.859805
481130076051,-96.815133,32.887352
481130072014,-96.876522,32.857029
481130076012,-96.832179,32.883762
481130094021,-96.843942,32.867664
