year,depart_time,origin,destination,travel_time
2018,8:30:00,481130129002,,3008
2018,8:30:00,481130129002,,1319
2018,8:30:00,481130130082,,2045
2018,8:30:00,481130130081,,2309
2018,8:30:00,481130130081,,2015
2018,8:30:00,481130130111,,2115
2018,8:30:00,481130130111,,2072
2018,8:30:00,481130130111,,2803
2018,8:30:00,481130130092,,2116
2018,8:30:00,481130130092,,1982
2018,8:30:00,481130130113,,2505
2018,8:30:00,481130130113,,1960
2018,8:30:00,481130130113,,2740
2018,8:30:00,481130128004,,3344
2018,8:30:00,481130128004,,1855
2018,8:30:00,481130128004,,2639
2018,8:30:00,481130128004,,1609
2018,8:30:00,481130130051,,3448
2018,8:30:00,481130130051,,2023
2018,8:30:00,481130130051,,2942
2018,8:30:00,481130130051,,2218
2018,8:30:00,481130130101,,3285
2018,8:30:00,481130130101,,1796
2018,8:30:00,481130130101,,1992
2018,8:30:00,481130130101,,2009
2018,8:30:00,481130130043,,1523
2018,8:30:00,481130130045,,2779
2018,8:30:00,481130130045,,2622
2018,8:30:00,481130130045,,1519
2018,8:30:00,481130130052,,3339
2018,8:30:00,481130130052,,1914
2018,8:30:00,481130130052,,2898
2018,8:30:00,481130130052,,2087
2018,8:30:00,481130130053,,3081
2018,8:30:00,481130130053,,1656
2018,8:30:00,481130130053,,3103
2018,8:30:00,481130130053,,1585
2018,8:30:00,481130130072,,3409
2018,8:30:00,481130130072,,1984
2018,8:30:00,481130130072,,2786
2018,8:30:00,481130130072,,1440
2018,8:30:00,481130130091,,3539
2018,8:30:00,481130130091,,2854
2018,8:30:00,481130130091,,1759
2018,8:30:00,481130130091,,3069
2018,8:30:00,481130130112,,3519
2018,8:30:00,481130130112,,2030
2018,8:30:00,481130130112,,1971
2018,8:30:00,481130130112,,2713
2018,8:30:00,481130079024,,3218
2018,8:30:00,481130079024,,3061
2018,8:30:00,481130079024,,567
2018,8:30:00,481130079024,,2417
2018,8:30:00,481130079025,,842
2018,8:30:00,481130079025,,2674
2018,8:30:00,481130002012,,2028
2018,8:30:00,481130002012,,1555
2018,8:30:00,481130024001,,3145
2018,8:30:00,481130024001,,2377
2018,8:30:00,481130024001,,1147
2018,8:30:00,481130024001,,1984
2018,8:30:00,481130024001,,2369
2018,8:30:00,481130024001,,2878
2018,8:30:00,481130001001,,3504
2018,8:30:00,481130001001,,3347
2018,8:30:00,481130001001,,2586
2018,8:30:00,481130001003,,1686
2018,8:30:00,481130011012,,3340
2018,8:30:00,481130011012,,2320
2018,8:30:00,481130011012,,3330
2018,8:30:00,481130011012,,1318
2018,8:30:00,481130011012,,2659
2018,8:30:00,481130011012,,3082
2018,8:30:00,481130011012,,3128
2018,8:30:00,481130012023,,3110
2018,8:30:00,481130012023,,2953
2018,8:30:00,481130012023,,3007
2018,8:30:00,481130012023,,1473
2018,8:30:00,481130012023,,2336
2018,8:30:00,481130012023,,2759
2018,8:30:00,481130013023,,3345
2018,8:30:00,481130013023,,2577
2018,8:30:00,481130013023,,678
2018,8:30:00,481130013023,,2184
2018,8:30:00,481130013023,,2569
2018,8:30:00,481130013023,,3077
2018,8:30:00,481130014003,,3393
2018,8:30:00,481130014003,,2389
2018,8:30:00,481130014003,,2625
2018,8:30:00,481130014003,,727
2018,8:30:00,481130014003,,2712
2018,8:30:00,481130014003,,2617
2018,8:30:00,481130014003,,3126
2018,8:30:00,481130011023,,2389
2018,8:30:00,481130011023,,1286
2018,8:30:00,481130012021,,2960
2018,8:30:00,481130012021,,2803
2018,8:30:00,481130012021,,3256
2018,8:30:00,481130012021,,1722
2018,8:30:00,481130012021,,2585
2018,8:30:00,481130012021,,3008
2018,8:30:00,481130013012,,3428
2018,8:30:00,481130013012,,2660
2018,8:30:00,481130013012,,1123
2018,8:30:00,481130013012,,2267
2018,8:30:00,481130013012,,2652
2018,8:30:00,481130013012,,3161
2018,8:30:00,481130080004,,2850
2018,8:30:00,481130014001,,3179
2018,8:30:00,481130014001,,2496
2018,8:30:00,481130014001,,2411
2018,8:30:00,481130014001,,513
2018,8:30:00,481130014001,,2498
2018,8:30:00,481130014001,,2403
2018,8:30:00,481130014001,,2912
2018,8:30:00,481130080001,,3141
2018,8:30:00,481130080001,,2957
2018,8:30:00,481130079032,,659
2018,8:30:00,481130079032,,1722
2018,8:30:00,481130002011,,1581
2018,8:30:00,481130002011,,1644
2018,8:30:00,481130012022,,3027
2018,8:30:00,481130012022,,2870
2018,8:30:00,481130012022,,2872
2018,8:30:00,481130012022,,1338
2018,8:30:00,481130012022,,2201
2018,8:30:00,481130012022,,2624
2018,8:30:00,481130012031,,3507
2018,8:30:00,481130012031,,3020
2018,8:30:00,481130012031,,2863
2018,8:30:00,481130012031,,2711
2018,8:30:00,481130012031,,1177
2018,8:30:00,481130012031,,2040
2018,8:30:00,481130012031,,2463
2018,8:30:00,481130013011,,3428
2018,8:30:00,481130013011,,2660
2018,8:30:00,481130013011,,1287
2018,8:30:00,481130013011,,2267
2018,8:30:00,481130013011,,2652
2018,8:30:00,481130013011,,3161
2018,8:30:00,481130014002,,2883
2018,8:30:00,481130014002,,2426
2018,8:30:00,481130014002,,2545
2018,8:30:00,481130014002,,647
2018,8:30:00,481130014002,,2202
2018,8:30:00,481130014002,,2625
2018,8:30:00,481130014002,,2671
2018,8:30:00,481130015021,,3347
2018,8:30:00,481130015021,,2644
2018,8:30:00,481130015021,,681
2018,8:30:00,481130015021,,2251
2018,8:30:00,481130015021,,2636
2018,8:30:00,481130015021,,3080
2018,8:30:00,481130011013,,3254
2018,8:30:00,481130011013,,2485
2018,8:30:00,481130011013,,3244
2018,8:30:00,481130011013,,1232
2018,8:30:00,481130011013,,2573
2018,8:30:00,481130011013,,2996
2018,8:30:00,481130011013,,3042
2018,8:30:00,481130013013,,3236
2018,8:30:00,481130013013,,2468
2018,8:30:00,481130013013,,914
2018,8:30:00,481130013013,,2075
2018,8:30:00,481130013013,,2460
2018,8:30:00,481130013013,,2969
2018,8:30:00,481130013021,,3212
2018,8:30:00,481130013021,,2444
2018,8:30:00,481130013021,,1214
2018,8:30:00,481130013021,,2051
2018,8:30:00,481130013021,,2436
2018,8:30:00,481130013021,,2945
2018,8:30:00,481130078092,,3131
2018,8:30:00,481130078092,,2974
2018,8:30:00,481130078092,,1190
2018,8:30:00,481130080003,,2064
2018,8:30:00,481130080003,,2435
2018,8:30:00,481130080005,,2038
2018,8:30:00,481130014004,,3302
2018,8:30:00,481130014004,,2567
2018,8:30:00,481130014004,,2765
2018,8:30:00,481130014004,,636
2018,8:30:00,481130014004,,2372
2018,8:30:00,481130014004,,2757
2018,8:30:00,481130014004,,3035
2018,8:30:00,481130079021,,3306
2018,8:30:00,481130079021,,3149
2018,8:30:00,481130079021,,918
2018,8:30:00,481130080006,,2580
2018,8:30:00,481130080006,,2055
2018,8:30:00,481130011021,,2477
2018,8:30:00,481130011021,,1597
2018,8:30:00,481130001002,,3357
2018,8:30:00,481130001002,,3200
2018,8:30:00,481130001002,,3245
2018,8:30:00,481130001002,,1948
2018,8:30:00,481130001002,,2574
2018,8:30:00,481130001002,,2997
2018,8:30:00,481130002013,,2427
2018,8:30:00,481130002013,,1605
2018,8:30:00,481130002021,,3364
2018,8:30:00,481130002021,,2208
2018,8:30:00,481130002021,,3354
2018,8:30:00,481130002021,,1342
2018,8:30:00,481130002021,,2683
2018,8:30:00,481130002021,,3106
2018,8:30:00,481130002021,,3152
2018,8:30:00,481130079023,,1504
2018,8:30:00,481130079023,,2524
2018,8:30:00,481130079031,,3568
2018,8:30:00,481130079031,,3411
2018,8:30:00,481130079031,,944
2018,8:30:00,481130079031,,2325
2018,8:30:00,481130011022,,2277
2018,8:30:00,481130011022,,1596
2018,8:30:00,481130013022,,3094
2018,8:30:00,481130013022,,2690
2018,8:30:00,481130013022,,2326
2018,8:30:00,481130013022,,428
2018,8:30:00,481130013022,,2413
2018,8:30:00,481130013022,,2318
2018,8:30:00,481130013022,,2827
2018,8:30:00,481130015043,,2926
2018,8:30:00,481130015043,,2622
2018,8:30:00,481130015043,,2392
2018,8:30:00,481130015043,,494
2018,8:30:00,481130015043,,2245
2018,8:30:00,481130015043,,2384
2018,8:30:00,481130015043,,2714
2018,8:30:00,481130079022,,1101
2018,8:30:00,481130079022,,2908
2018,8:30:00,481130080002,,2197
2018,8:30:00,481130079024,,3218
2018,8:30:00,481130079024,,3061
2018,8:30:00,481130079024,,567
2018,8:30:00,481130079024,,2417
2018,8:30:00,481130079121,,3417
2018,8:30:00,481130079121,,3260
2018,8:30:00,481130079121,,881
2018,8:30:00,481130002012,,2028
2018,8:30:00,481130002012,,1555
2018,8:30:00,481130002023,,3503
