geoid,latitude,longitude,latlong
481130011022,32.818641,-96.757403,"32.8186, -96.7574"
481130011023,32.81528,-96.757983,"32.8153, -96.758"
481130012021,32.805873,-96.730886,"32.8059, -96.7309"
481130012022,32.806013,-96.74059,"32.806, -96.7406"
481130012023,32.806993,-96.736472,"32.807, -96.7365"
481130012031,32.803148,-96.743049,"32.8031, -96.743"
481130012032,32.80198,-96.745581,"32.802, -96.7456"
481130012041,32.80017,-96.750023,"32.8002, -96.75"
481130012042,32.797498,-96.746695,"32.7975, -96.7467"
481130013011,32.803582,-96.753415,"32.8036, -96.7534"
481130013012,32.806181,-96.752964,"32.8062, -96.753"
481130013013,32.805981,-96.756688,"32.806, -96.7567"
481130013021,32.800682,-96.759469,"32.8007, -96.7595"
481130013022,32.801724,-96.766291,"32.8017, -96.7663"
481130013023,32.800191,-96.763514,"32.8002, -96.7635"
481130014001,32.806051,-96.762847,"32.8061, -96.7628"
481130014002,32.804185,-96.76904,"32.8042, -96.769"
481130014003,32.809663,-96.761341,"32.8097, -96.7613"
481130014004,32.808583,-96.757597,"32.8086, -96.7576"
481130015021,32.797232,-96.769584,"32.7972, -96.7696"
481130015022,32.793102,-96.77222,"32.7931, -96.7722"
481130015023,32.793984,-96.766578,"32.794, -96.7666"
481130015024,32.792508,-96.764777,"32.7925, -96.7648"
481130015031,32.806194,-96.773151,"32.8062, -96.7732"
481130015032,32.803107,-96.776765,"32.8031, -96.7768"
481130015033,32.799357,-96.780588,"32.7994, -96.7806"
481130015041,32.805988,-96.769773,"32.806, -96.7698"
481130015042,32.800518,-96.77565,"32.8005, -96.7756"
481130015043,32.799789,-96.772705,"32.7998, -96.7727"
481130015044,32.796831,-96.776399,"32.7968, -96.7764"
481130016001,32.794225,-96.788045,"32.7942, -96.788"
481130016002,32.799772,-96.789412,"32.7998, -96.7894"
481130017011,32.79179,-96.79504,"32.7918, -96.795"
481130017031,32.803314,-96.7971,"32.8033, -96.7971"
481130017032,32.794337,-96.796912,"32.7943, -96.7969"
481130017033,32.798724,-96.796704,"32.7987, -96.7967"
481130017041,32.796698,-96.799733,"32.7967, -96.7997"
481130017042,32.790434,-96.802627,"32.7904, -96.8026"
481130018001,32.805451,-96.800991,"32.8055, -96.801"
481130018002,32.800471,-96.804562,"32.8005, -96.8046"
481130019001,32.79573,-96.807688,"32.7957, -96.8077"
481130019002,32.795474,-96.812426,"32.7955, -96.8124"
481130020001,32.760222,-96.819731,"32.7602, -96.8197"
481130020002,32.758392,-96.815409,"32.7584, -96.8154"
481130020003,32.753467,-96.813268,"32.7535, -96.8133"
481130020004,32.751967,-96.819592,"32.752, -96.8196"
481130020005,32.755826,-96.814621,"32.7558, -96.8146"
481130021001,32.782482,-96.804762,"32.7825, -96.8048"
481130021002,32.783214,-96.797776,"32.7832, -96.7978"
481130022001,32.790961,-96.787907,"32.791, -96.7879"
481130022002,32.786317,-96.784937,"32.7863, -96.7849"
481130024001,32.797507,-96.758544,"32.7975, -96.7585"
481130024002,32.79299,-96.756271,"32.793, -96.7563"
481130024003,32.795985,-96.754766,"32.796, -96.7548"
481130025001,32.789408,-96.736411,"32.7894, -96.7364"
481130025002,32.787746,-96.740883,"32.7877, -96.7409"
481130025003,32.784585,-96.752494,"32.7846, -96.7525"
481130025004,32.787956,-96.759,"32.788, -96.759"
481130027011,32.774514,-96.737274,"32.7745, -96.7373"
481130027012,32.771413,-96.741386,"32.7714, -96.7414"
481130027013,32.775373,-96.743716,"32.7754, -96.7437"
481130027014,32.77526,-96.747103,"32.7753, -96.7471"
481130027021,32.772636,-96.752386,"32.7726, -96.7524"
481130027022,32.768408,-96.746068,"32.7684, -96.7461"
481130031011,32.780595,-96.796457,"32.7806, -96.7965"
481130031012,32.780122,-96.801145,"32.7801, -96.8011"
481130034001,32.757992,-96.776849,"32.758, -96.7768"
481130034002,32.763775,-96.777688,"32.7638, -96.7777"
481130037001,32.766716,-96.760654,"32.7667, -96.7607"
481130037002,32.76245,-96.766703,"32.7625, -96.7667"
481130037003,32.760191,-96.760329,"32.7602, -96.7603"
481130037004,32.757823,-96.765378,"32.7578, -96.7654"
481130038001,32.753649,-96.761585,"32.7536, -96.7616"
481130038002,32.760766,-96.751573,"32.7608, -96.7516"
481130038003,32.756461,-96.7579,"32.7565, -96.7579"
481130039011,32.763616,-96.743411,"32.7636, -96.7434"
481130039012,32.757231,-96.746987,"32.7572, -96.747"
481130039021,32.744049,-96.755168,"32.744, -96.7552"
481130039022,32.747511,-96.757404,"32.7475, -96.7574"
481130040001,32.75583,-96.770145,"32.7558, -96.7701"
481130040002,32.749533,-96.763774,"32.7495, -96.7638"
481130041001,32.746122,-96.806966,"32.7461, -96.807"
481130041002,32.75229,-96.805474,"32.7523, -96.8055"
481130042011,32.76306,-96.830535,"32.7631, -96.8305"
481130042012,32.751569,-96.8341,"32.7516, -96.8341"
481130042013,32.756662,-96.827885,"32.7567, -96.8279"
481130042014,32.752248,-96.825821,"32.7522, -96.8258"
481130042015,32.752185,-96.829813,"32.7522, -96.8298"
481130042021,32.751733,-96.840797,"32.7517, -96.8408"
481130042022,32.751699,-96.844725,"32.7517, -96.8447"
481130042023,32.753593,-96.85242,"32.7536, -96.8524"
481130043001,32.769298,-96.834229,"32.7693, -96.8342"
481130043002,32.77645,-96.849516,"32.7764, -96.8495"
481130043003,32.769452,-96.844078,"32.7695, -96.8441"
481130044001,32.756392,-96.839243,"32.7564, -96.8392"
481130044002,32.760794,-96.842061,"32.7608, -96.8421"
481130044003,32.758813,-96.853866,"32.7588, -96.8539"
481130045001,32.748273,-96.853786,"32.7483, -96.8538"
481130045002,32.747222,-96.869287,"32.7472, -96.8693"
481130045003,32.74419,-96.863356,"32.7442, -96.8634"
481130045004,32.738422,-96.87017,"32.7384, -96.8702"
481130046001,32.746432,-96.841066,"32.7464, -96.8411"
481130046002,32.747452,-96.847489,"32.7475, -96.8475"
481130047001,32.744393,-96.836678,"32.7444, -96.8367"
481130047002,32.747052,-96.829663,"32.7471, -96.8297"
481130047003,32.747183,-96.834619,"32.7472, -96.8346"
481130048001,32.747609,-96.812946,"32.7476, -96.8129"
481130048002,32.749072,-96.818358,"32.7491, -96.8184"
481130048003,32.743167,-96.820721,"32.7432, -96.8207"
481130048004,32.73793,-96.820498,"32.7379, -96.8205"
481130049001,32.73179,-96.808465,"32.7318, -96.8085"
481130049002,32.741567,-96.803986,"32.7416, -96.804"
481130049003,32.737395,-96.80591,"32.7374, -96.8059"
481130049004,32.731579,-96.802581,"32.7316, -96.8026"
481130050001,32.739829,-96.828956,"32.7398, -96.829"
481130050002,32.739758,-96.834933,"32.7398, -96.8349"
481130050003,32.735837,-96.830855,"32.7358, -96.8309"
481130051001,32.739159,-96.841266,"32.7392, -96.8413"
481130051002,32.73326,-96.844531,"32.7333, -96.8445"
481130052001,32.743685,-96.8501,"32.7437, -96.8501"
481130052002,32.739296,-96.854323,"32.7393, -96.8543"
481130052003,32.738216,-96.850397,"32.7382, -96.8504"
481130052004,32.737688,-96.846357,"32.7377, -96.8464"
481130053001,32.737998,-96.860487,"32.738, -96.8605"
481130053002,32.738065,-96.866249,"32.7381, -96.8662"
481130053003,32.730473,-96.867535,"32.7305, -96.8675"
481130053004,32.732038,-96.860431,"32.732, -96.8604"
481130053005,32.731068,-96.853194,"32.7311, -96.8532"
481130054001,32.731014,-96.818154,"32.731, -96.8182"
481130054002,32.721697,-96.812672,"32.7217, -96.8127"
481130054003,32.727493,-96.818372,"32.7275, -96.8184"
481130054004,32.722731,-96.819576,"32.7227, -96.8196"
481130055001,32.732819,-96.79021,"32.7328, -96.7902"
481130055002,32.726021,-96.796747,"32.726, -96.7967"
481130055003,32.724953,-96.80594,"32.725, -96.8059"
481130055004,32.717392,-96.805682,"32.7174, -96.8057"
481130056001,32.718331,-96.821463,"32.7183, -96.8215"
481130056002,32.710214,-96.818538,"32.7102, -96.8185"
481130056003,32.711161,-96.826195,"32.7112, -96.8262"
481130056004,32.715125,-96.818558,"32.7151, -96.8186"
481130057001,32.690237,-96.796243,"32.6902, -96.7962"
481130057002,32.7076,-96.805521,"32.7076, -96.8055"
481130057003,32.704017,-96.796207,"32.704, -96.7962"
481130057004,32.699103,-96.801458,"32.6991, -96.8015"
481130059011,32.703985,-96.81102,"32.704, -96.811"
481130059012,32.69567,-96.811959,"32.6957, -96.812"
481130059013,32.695626,-96.806388,"32.6956, -96.8064"
481130059014,32.690274,-96.805517,"32.6903, -96.8055"
481130059015,32.687367,-96.810448,"32.6874, -96.8104"
481130059016,32.686514,-96.802006,"32.6865, -96.802"
481130059021,32.704516,-96.818522,"32.7045, -96.8185"
481130059022,32.693842,-96.818521,"32.6938, -96.8185"
481130060011,32.704678,-96.837945,"32.7047, -96.8379"
481130060012,32.708253,-96.834342,"32.7083, -96.8343"
481130060013,32.711057,-96.836785,"32.7111, -96.8368"
481130060021,32.696433,-96.831104,"32.6964, -96.8311"
481130060022,32.70112,-96.833071,"32.7011, -96.8331"
481130060023,32.69695,-96.8344,"32.697, -96.8344"
481130061001,32.696474,-96.855097,"32.6965, -96.8551"
481130061002,32.694894,-96.848414,"32.6949, -96.8484"
481130062001,32.726974,-96.828406,"32.727, -96.8284"
481130062002,32.730079,-96.833347,"32.7301, -96.8333"
481130062003,32.725616,-96.83712,"32.7256, -96.8371"
481130062004,32.717492,-96.837022,"32.7175, -96.837"
481130062005,32.715877,-96.833001,"32.7159, -96.833"
481130063011,32.715266,-96.843939,"32.7153, -96.8439"
481130063012,32.718632,-96.84495,"32.7186, -96.8449"
481130063013,32.717749,-96.850751,"32.7177, -96.8508"
481130063014,32.716522,-96.854413,"32.7165, -96.8544"
481130063015,32.709437,-96.846323,"32.7094, -96.8463"
481130063016,32.70988,-96.84218,"32.7099, -96.8422"
481130063021,32.72615,-96.841987,"32.7261, -96.842"
481130063022,32.726876,-96.849189,"32.7269, -96.8492"
