,origin,travel_time
327,481130078112,1438
328,481130078113,1366
329,481130078114,1308
330,481130078121,2178
331,481130078122,1739
332,481130078151,1188
333,481130078152,1236
334,481130078153,1182
335,481130078181,1290
336,481130078182,906
337,481130078183,887
338,481130078184,978
339,481130078191,847
340,481130078192,679
341,481130078201,999
342,481130078202,1029
343,481130078203,1087
344,481130078211,1323
345,481130078212,1118
346,481130078213,808
347,481130078221,1328
348,481130078222,1537
349,481130078231,2004
350,481130078232,1725
351,481130078233,1630
352,481130078241,1093
353,481130078242,805
354,481130078251,1906
355,481130078252,1439
356,481130078253,1130
357,481130078254,1644
358,481130078255,1173
359,481130078261,502
360,481130078271,1045
361,481130078272,1078
362,481130078273,1182
363,481130079021,918
364,481130079022,1101
365,481130079023,1489
366,481130079024,567
367,481130079025,827
368,481130079031,638
369,481130079032,659
370,481130079061,1966
371,481130079062,1578
372,481130079091,509
373,481130079092,821
374,481130079101,1350
375,481130079102,1089
376,481130079111,1060
377,481130079112,875
378,481130079121,881
379,481130079122,1354
380,481130079131,668
381,481130079132,817
382,481130079133,568
383,481130079141,1272
384,481130079142,997
385,481130080001,2700
386,481130080002,2197
387,481130080003,2064
388,481130080004,2850
389,481130080005,2213
390,481130080006,1895
391,481130081001,1621
392,481130081002,1099
393,481130081003,2052
394,481130081004a,2215
395,481130081004b,2164
396,481130081005,1681
397,481130082001,1825
398,481130082002,1273
399,481130082003,1099
400,481130082004,1192
401,481130084001,1985
402,481130084002,2362
403,481130084003,2120
404,481130084004,1730
405,481130084005,1655
406,481130084006,1542
407,481130084007,2305
408,481130085001,1815
409,481130085002,1696
410,481130085003,1728
411,481130085004,1300
412,481130086031,2493
413,481130086032,1935
414,481130086041,2800
415,481130086042,3108
416,481130087011,2908
417,481130087012,2569
418,481130087013,2576
419,481130087014,2115
420,481130087015,1749
421,481130087031,2345
422,481130087032,2262
423,481130087041,2352
424,481130087042,1762
425,481130087043,1638
426,481130087051,1738
427,481130087052,1827
428,481130088011,2491
429,481130088012,2008
430,481130088013,2212
431,481130088021,2232
432,481130088022,2244
433,481130088023,1763
434,481130088024,2112
435,481130088025,2230
436,481130088026,2768
437,481130089001,1847
438,481130089002,1380
439,481130089003,1648
440,481130090001,1863
441,481130090002,1279
442,481130090003,1517
443,481130090004,2355
444,481130090005,1452
445,481130091011,1103
446,481130091012,772
447,481130091013,970
448,481130091014,871
449,481130091031,1023
450,481130091032,350
451,481130091041,625
452,481130091042,1162
453,481130091051,855
454,481130091052,553
455,481130091053,791
456,481130092011,1802
457,481130092012,1395
458,481130092013,860
459,481130092014,1260
460,481130092015,766
