year,depart_time,origin,destination,travel_time
2018,8:0:00,481130078192,,3200
2018,8:0:00,481130078192,,679
2018,8:0:00,481130078192,,2443
2018,8:0:00,481130078202,,3040
2018,8:0:00,481130078202,,1029
2018,8:0:00,481130078202,,2813
2018,8:0:00,481130078222,,3252
2018,8:0:00,481130078222,,1537
2018,8:0:00,481130078222,,3098
2018,8:0:00,481130078231,,2004
2018,8:0:00,481130078255,,2913
2018,8:0:00,481130078255,,1173
2018,8:0:00,481130078271,,2986
2018,8:0:00,481130078271,,1045
2018,8:0:00,481130078114,,2803
2018,8:0:00,481130078114,,1308
2018,8:0:00,481130078183,,3261
2018,8:0:00,481130078183,,887
2018,8:0:00,481130078183,,2571
2018,8:0:00,481130078201,,3130
2018,8:0:00,481130078201,,999
2018,8:0:00,481130078201,,3273
2018,8:0:00,481130078221,,3249
2018,8:0:00,481130078221,,1328
2018,8:0:00,481130078221,,2374
2018,8:0:00,481130078252,,2247
2018,8:0:00,481130078252,,1439
2018,8:0:00,481130078261,,3079
2018,8:0:00,481130078261,,502
2018,8:0:00,481130078121,,2178
2018,8:0:00,481130078121,,2644
2018,8:0:00,481130078153,,2241
2018,8:0:00,481130078153,,1182
2018,8:0:00,481130078153,,2818
2018,8:0:00,481130078184,,3050
2018,8:0:00,481130078184,,978
2018,8:0:00,481130078184,,2796
2018,8:0:00,481130078203,,3072
2018,8:0:00,481130078203,,1087
2018,8:0:00,481130078203,,2904
2018,8:0:00,481130078212,,2483
2018,8:0:00,481130078212,,1118
2018,8:0:00,481130078212,,2870
2018,8:0:00,481130078254,,1956
2018,8:0:00,481130078254,,1644
2018,8:0:00,481130078182,,906
2018,8:0:00,481130078182,,2705
2018,8:0:00,481130078232,,2944
2018,8:0:00,481130078232,,1725
2018,8:0:00,481130078232,,2790
2018,8:0:00,481130078233,,3198
2018,8:0:00,481130078233,,1630
2018,8:0:00,481130078233,,3044
2018,8:0:00,481130078273,,2663
2018,8:0:00,481130078273,,1182
2018,8:0:00,481130078091,,193
2018,8:0:00,481130078091,,3083
2018,8:0:00,481130078092,,1190
2018,8:0:00,481130078122,,2085
2018,8:0:00,481130078122,,1739
2018,8:0:00,481130078211,,3170
2018,8:0:00,481130078211,,1323
2018,8:0:00,481130078211,,2943
2018,8:0:00,481130078242,,2667
2018,8:0:00,481130078242,,805
2018,8:0:00,481130078253,,3098
2018,8:0:00,481130078253,,1130
2018,8:0:00,481130078113,,3104
2018,8:0:00,481130078113,,1366
2018,8:0:00,481130078191,,847
2018,8:0:00,481130078191,,2726
2018,8:0:00,481130078213,,2958
2018,8:0:00,481130078213,,808
2018,8:0:00,481130078213,,3105
2018,8:0:00,481130078272,,2874
2018,8:0:00,481130078272,,1078
2018,8:0:00,481130078052,,2961
2018,8:0:00,481130078052,,1865
2018,8:0:00,481130078052,,3279
2018,8:0:00,481130078152,,2289
2018,8:0:00,481130078152,,1236
2018,8:0:00,481130078152,,2627
2018,8:0:00,481130078181,,1290
2018,8:0:00,481130078181,,2741
2018,8:0:00,481130078241,,2178
2018,8:0:00,481130078241,,1093
2018,8:0:00,481130078151,,3129
2018,8:0:00,481130078151,,1188
2018,8:0:00,481130078151,,2733
2018,8:0:00,481130078271,,2986
2018,8:0:00,481130078271,,1045
2018,8:0:00,481130078261,,3079
2018,8:0:00,481130078261,,502
2018,8:0:00,481130078273,,2663
2018,8:0:00,481130078273,,1182
2018,8:0:00,481130130044,,3242
2018,8:0:00,481130130044,,1586
2018,8:0:00,481130130073,,2020
2018,8:0:00,481130130073,,2578
2018,8:0:00,481130130073,,1552
2018,8:0:00,481130130102,,2043
2018,8:0:00,481130130102,,2324
2018,8:0:00,481130130102,,1929
2018,8:0:00,481130129001,,1505
2018,8:0:00,481130129001,,2711
2018,8:0:00,481130129001,,1549
2018,8:0:00,481130130054,,1937
2018,8:0:00,481130130054,,2758
2018,8:0:00,481130130054,,1369
2018,8:0:00,481130130093,,2262
2018,8:0:00,481130130093,,1486
2018,8:0:00,481130130103,,1724
2018,8:0:00,481130130103,,2314
2018,8:0:00,481130130103,,1758
2018,8:0:00,481130078092,,1190
2018,8:0:00,481130078113,,3104
2018,8:0:00,481130078113,,1366
2018,8:0:00,481130078272,,2874
2018,8:0:00,481130078272,,1078
2018,8:0:00,481130128003,,1796
2018,8:0:00,481130128003,,2867
2018,8:0:00,481130128003,,2038
2018,8:0:00,481130130042,,2723
2018,8:0:00,481130130042,,1956
2018,8:0:00,481130130071,,2540
2018,8:0:00,481130130071,,2859
2018,8:0:00,481130130071,,2252
2018,8:0:00,481130130041,,2669
2018,8:0:00,481130130041,,1822
2018,8:0:00,481130129002,,2075
2018,8:0:00,481130129002,,2740
2018,8:0:00,481130129002,,1319
2018,8:0:00,481130130082,,2399
2018,8:0:00,481130130082,,1750
2018,8:0:00,481130130081,,2135
2018,8:0:00,481130130081,,1595
2018,8:0:00,481130130111,,2237
2018,8:0:00,481130130111,,2293
2018,8:0:00,481130130111,,2383
2018,8:0:00,481130130092,,2106
2018,8:0:00,481130130092,,1562
2018,8:0:00,481130130113,,2047
2018,8:0:00,481130130113,,2366
2018,8:0:00,481130130113,,2320
2018,8:0:00,481130128004,,1859
2018,8:0:00,481130128004,,2371
2018,8:0:00,481130128004,,1609
2018,8:0:00,481130130051,,2023
2018,8:0:00,481130130051,,2674
2018,8:0:00,481130130051,,1798
2018,8:0:00,481130130101,,1800
2018,8:0:00,481130130101,,1980
2018,8:0:00,481130130101,,2051
2018,8:0:00,481130130043,,2435
2018,8:0:00,481130130043,,1523
2018,8:0:00,481130130045,,3059
2018,8:0:00,481130130045,,1519
2018,8:0:00,481130130052,,1914
2018,8:0:00,481130130052,,3122
2018,8:0:00,481130130052,,1925
2018,8:0:00,481130130053,,1656
2018,8:0:00,481130130053,,2835
2018,8:0:00,481130130053,,1585
2018,8:0:00,481130130072,,1984
2018,8:0:00,481130130072,,2518
2018,8:0:00,481130130072,,1440
2018,8:0:00,481130130091,,2583
2018,8:0:00,481130130091,,2614
2018,8:0:00,481130130091,,1819
2018,8:0:00,481130130112,,2034
2018,8:0:00,481130130112,,2124
2018,8:0:00,481130130112,,2293
2018,8:0:00,481130079024,,567
2018,8:0:00,481130079024,,3137
2018,8:0:00,481130079025,,827
2018,8:0:00,481130079025,,3098
2018,8:0:00,481130002012,,2448
2018,8:0:00,481130002012,,1610
2018,8:0:00,481130024001,,3248
2018,8:0:00,481130024001,,2377
2018,8:0:00,481130024001,,1138
2018,8:0:00,481130024001,,2044
2018,8:0:00,481130024001,,2909
2018,8:0:00,481130024001,,2899
2018,8:0:00,481130001001,,2548
2018,8:0:00,481130001001,,3350
2018,8:0:00,481130001001,,2417
2018,8:0:00,481130001003,,1757
2018,8:0:00,481130011012,,2740
2018,8:0:00,481130011012,,3186
2018,8:0:00,481130011012,,1318
2018,8:0:00,481130011012,,2669
2018,8:0:00,481130011012,,3104
2018,8:0:00,481130011012,,3094
2018,8:0:00,481130012023,,2154
2018,8:0:00,481130012023,,2956
2018,8:0:00,481130012023,,3223
2018,8:0:00,481130012023,,1856
2018,8:0:00,481130012023,,2706
2018,8:0:00,481130012023,,3141
2018,8:0:00,481130012023,,3131
2018,8:0:00,481130013023,,2577
2018,8:0:00,481130013023,,678
2018,8:0:00,481130013023,,2244
2018,8:0:00,481130013023,,3109
2018,8:0:00,481130013023,,3099
2018,8:0:00,481130014003,,2809
2018,8:0:00,481130014003,,3390
2018,8:0:00,481130014003,,727
2018,8:0:00,481130014003,,2532
2018,8:0:00,481130014003,,2557
2018,8:0:00,481130014003,,3298
2018,8:0:00,481130011023,,2809
2018,8:0:00,481130011023,,1120
2018,8:0:00,481130011023,,2925
2018,8:0:00,481130011023,,2950
2018,8:0:00,481130012021,,2004
2018,8:0:00,481130012021,,2806
2018,8:0:00,481130012021,,2605
2018,8:0:00,481130013012,,2660
2018,8:0:00,481130013012,,1123
2018,8:0:00,481130013012,,2327
2018,8:0:00,481130013012,,3192
2018,8:0:00,481130013012,,3182
2018,8:0:00,481130080004,,2850
2018,8:0:00,481130014001,,2916
2018,8:0:00,481130014001,,2771
2018,8:0:00,481130014001,,3316
2018,8:0:00,481130014001,,513
2018,8:0:00,481130014001,,2438
2018,8:0:00,481130014001,,2201
2018,8:0:00,481130014001,,3293
2018,8:0:00,481130080001,,3141
2018,8:0:00,481130080001,,2700
2018,8:0:00,481130079032,,659
2018,8:0:00,481130079032,,1802
2018,8:0:00,481130002011,,1581
2018,8:0:00,481130002011,,1713
2018,8:0:00,481130012022,,2071
2018,8:0:00,481130012022,,2873
2018,8:0:00,481130012022,,3088
2018,8:0:00,481130012022,,1721
2018,8:0:00,481130012022,,2571
2018,8:0:00,481130012022,,3006
2018,8:0:00,481130012022,,2996
2018,8:0:00,481130012031,,2064
2018,8:0:00,481130012031,,2866
2018,8:0:00,481130012031,,2927
2018,8:0:00,481130012031,,1560
2018,8:0:00,481130012031,,2410
2018,8:0:00,481130012031,,2845
2018,8:0:00,481130012031,,2835
2018,8:0:00,481130013011,,2660
2018,8:0:00,481130013011,,1287
2018,8:0:00,481130013011,,2327
2018,8:0:00,481130013011,,3192
2018,8:0:00,481130013011,,3182
2018,8:0:00,481130014002,,2846
2018,8:0:00,481130014002,,2729
2018,8:0:00,481130014002,,647
2018,8:0:00,481130014002,,2212
2018,8:0:00,481130014002,,2647
2018,8:0:00,481130014002,,2637
2018,8:0:00,481130015021,,2644
2018,8:0:00,481130015021,,1023
2018,8:0:00,481130015021,,2311
2018,8:0:00,481130015021,,3176
2018,8:0:00,481130015021,,3166
2018,8:0:00,481130011013,,2905
2018,8:0:00,481130011013,,3100
2018,8:0:00,481130011013,,1232
2018,8:0:00,481130011013,,2583
2018,8:0:00,481130011013,,3018
2018,8:0:00,481130011013,,3008
2018,8:0:00,481130013013,,2468
2018,8:0:00,481130013013,,914
2018,8:0:00,481130013013,,2135
2018,8:0:00,481130013013,,3000
2018,8:0:00,481130013013,,2990
2018,8:0:00,481130013021,,2444
2018,8:0:00,481130013021,,1040
2018,8:0:00,481130013021,,2111
2018,8:0:00,481130013021,,2976
2018,8:0:00,481130013021,,2966
2018,8:0:00,481130078092,,1190
2018,8:0:00,481130080003,,2064
2018,8:0:00,481130080003,,2222
2018,8:0:00,481130080005,,2213
2018,8:0:00,481130014004,,2987
2018,8:0:00,481130014004,,2765
2018,8:0:00,481130014004,,636
2018,8:0:00,481130014004,,2432
2018,8:0:00,481130014004,,2466
2018,8:0:00,481130014004,,3287
2018,8:0:00,481130079021,,918
2018,8:0:00,481130080006,,2580
2018,8:0:00,481130080006,,1895
2018,8:0:00,481130011021,,2897
2018,8:0:00,481130011021,,1641
2018,8:0:00,481130001002,,2401
2018,8:0:00,481130001002,,3203
2018,8:0:00,481130001002,,1955
2018,8:0:00,481130002013,,2847
2018,8:0:00,481130002013,,1647
2018,8:0:00,481130002021,,2628
2018,8:0:00,481130002021,,3210
2018,8:0:00,481130002021,,1342
2018,8:0:00,481130002021,,2693
2018,8:0:00,481130002021,,3128
2018,8:0:00,481130002021,,3118
2018,8:0:00,481130079023,,1489
2018,8:0:00,481130079023,,2507
2018,8:0:00,481130079031,,638
2018,8:0:00,481130079031,,2405
2018,8:0:00,481130011022,,2697
2018,8:0:00,481130011022,,1440
2018,8:0:00,481130013022,,3110
2018,8:0:00,481130013022,,2686
2018,8:0:00,481130013022,,3231
2018,8:0:00,481130013022,,428
2018,8:0:00,481130013022,,2353
2018,8:0:00,481130013022,,2116
2018,8:0:00,481130013022,,3208
2018,8:0:00,481130015043,,3042
2018,8:0:00,481130015043,,2752
2018,8:0:00,481130015043,,3297
2018,8:0:00,481130015043,,494
2018,8:0:00,481130015043,,2419
2018,8:0:00,481130015043,,2182
2018,8:0:00,481130015043,,2774
2018,8:0:00,481130079022,,1101
2018,8:0:00,481130080002,,2197
2018,8:0:00,481130080002,,2923
2018,8:0:00,481130079024,,567
2018,8:0:00,481130079024,,3137
2018,8:0:00,481130079121,,881
2018,8:0:00,481130079121,,2712
2018,8:0:00,481130002012,,2448
