"","origin","Jobs","workers","Wieghted_Avg","Job_Perct"
"578",4.8113e+11,37404.5,176,7.166291653,0.010820896
"579",4.8113e+11,10269.5,640,7.154630848,0.010803289
"580",4.8113e+11,4205,1562,7.149982637,0.01079627
"581",4.8113e+11,6395,1027,7.149389364,0.010795374
"582",4.8113e+11,6072.5,1069,7.066480847,0.010670185
"583",4.8113e+11,8571,746,6.960305149,0.010509863
"584",4.8113e+11,4900.5,1299,6.929589401,0.010463483
"585",4.8113e+11,11262.5,563,6.902416417,0.010422452
"586",4.8113e+11,7759,816,6.892136468,0.01040693
"587",4.8113e+11,20336,310,6.862544672,0.010362247
"588",4.8113e+11,6303.5,998,6.848102561,0.01034044
"589",4.8113e+11,3212,1958,6.846146394,0.010337486
"590",4.8113e+11,8730,712,6.766314731,0.010216943
"591",4.8113e+11,3386.5,1835,6.764646491,0.010214424
"592",4.8113e+11,4235,1467,6.76303268,0.010211987
"593",4.8113e+11,7012,884,6.747643509,0.01018875
"594",4.8113e+11,7121,869,6.736258114,0.010171558
"595",4.8113e+11,8687.5,709,6.705003522,0.010124364
"596",4.8113e+11,8121,756,6.683273952,0.010091553
"597",4.8113e+11,6489.5,939,6.633378618,0.010016213
"598",4.8113e+11,7895,767,6.591821761,0.009953463
"599",4.8113e+11,9937,607,6.566016026,0.009914497
"600",4.8113e+11,4253,1417,6.560292304,0.009905855
"601",4.8113e+11,4173.5,1442,6.5512419,0.009892189
"602",4.8113e+11,3713.5,1620,6.548719674,0.00988838
"603",4.8113e+11,3358,1766,6.455492019,0.009747609
"604",4.8113e+11,5116.5,1142,6.360584695,0.009604302
"605",4.8113e+11,10031,577,6.300543307,0.009513641
"606",4.8113e+11,8986.5,633,6.192303673,0.009350202
"607",4.8113e+11,3840.5,1478,6.179027969,0.009330156
"608",4.8113e+11,5821.5,971,6.153356672,0.009291393
"609",4.8113e+11,7808,721,6.12820136,0.00925341
"610",4.8113e+11,8195,679,6.057266612,0.0091463
"611",4.8113e+11,1867.5,2974,6.045880128,0.009129107
"612",4.8113e+11,3102,1787,6.034263955,0.009111567
"613",4.8113e+11,4655.5,1188,6.020613237,0.009090955
