origin,Jobs,%_accesible
481130001001,1620,0.4977386687641333
481130001002,4433,1.362021925081113
481130001003,4886,1.5012044046799724
481130002011,14088,4.328482941696982
481130002012,21291,6.541576541146396
481130002013,25670,7.887007177268705
481130002021,38361,11.78626732867958
481130002022,30155,9.265005899124963
481130002023,30446,9.35441451184741
481130003001,33486,10.288442631009733
481130003002,33483,10.287520892734245
481130003003,35696,10.967456493953396
481130004011,75554,23.213671222102057
481130004012,37575,11.544771900501425
481130004013,44241,13.592874348638285
481130004041,43315,13.308364467603973
481130004042,57663,17.71673139317668
481130004043,24678,7.58221905417363
481130004044,35150,10.799700127814374
481130004051,38206,11.738644184445974
481130004052,42378,13.020474879559533
481130004061,33384,10.257103529643102
481130004062,30892,9.491446268803461
481130004063,23775,7.304775833251401
481130004064,29363,9.021666994395831
481130004065,35005,10.755149444499065
481130005001,46295,14.223957821256514
481130005002,46820,14.385262019467113
481130005003,45663,14.029778291220135
481130005004,53721,16.505567299183955
481130006011,35011,10.756992921050044
481130006012,29431,9.042559728640253
481130006013,45588,14.006734834332907
481130006014,30721,9.43890718710058
481130006015,34256,10.525022121718612
481130006031,34756,10.678645167633467
481130006032,31480,9.67210697079933
481130006033,38435,11.809003539474979
481130006034,53047,16.298483433290727
481130006051,56375,17.32099842690001
481130006052,55278,16.983949464162816
481130006061,47937,14.728455904040901
481130006062,56664,17.409792547438798
481130006063,63111,19.39060810146495
481130007011,59122,18.165003441156227
481130007012,66335,20.381169501523942
481130007021,40123,12.327634942483531
481130007022,37971,11.666441352865991
481130007023,44521,13.678903254350605
481130008001,37468,11.511896568675645
481130008002,41506,12.752556287484024
481130008003,41385,12.71537951037263
481130008004,60115,18.47009881034313
481130008005,57136,17.55481270278242
481130009001,34751,10.677108937174319
481130009002,36129,11.100494051715662
481130009003,38304,11.768754301445286
481130009004,48905,15.025870120932062
481130010011,38835,11.931901976206863
481130010012,31134,9.565799823026252
481130010021,32401,9.955080621374496
481130010022,47487,14.590195162717531
481130011011,55768,17.134500049159374
481130011012,36758,11.293751843476551
481130011013,39046,11.996730901582932
481130011021,13946,4.284853996657163
481130011022,20977,6.445101268311867
481130011023,38860,11.939583128502605
481130012021,3538,1.0870366728935208
481130012022,24839,7.631685674958215
481130012023,9455,2.905011798249926
481130012031,44160,13.567987415200077
481130012032,33797,10.383996165568773
481130012041,24213,7.439349621472815
481130012042,24782,7.6141726477239215
481130013011,23052,7.08263690885852
481130013012,13880,4.264575754596402
481130013013,33112,10.17353259266542
481130013021,37677,11.576111001868055
481130013022,51288,15.758037557762265
481130013023,35064,10.77327696391702
481130014001,44759,13.752027824206076
481130014002,53499,16.437358666797756
481130014003,34320,10.544685871595712
481130014004,36189,11.118928817225445
481130015021,35712,10.972372431422672
481130015022,60360,18.54537410284141
481130015023,48693,14.960733949464164
481130015024,50379,15.478750860289056
481130015031,49942,15.344484318159473
481130015032,54612,16.77932356700423
481130015033,69634,21.394774358470162
481130015041,55267,16.98056975715269
481130015042,58753,18.051629633271066
481130015043,55335,17.00146249139711
481130015044,65237,20.043813292694917
481130016001,69662,21.40337724904139
481130016002,67613,20.773830006882314
481130017011,85043,26.129129387474194
481130017031,57593,17.6952241667486
481130017032,61676,18.94970995968931
481130017033,57105,17.5452880739357
481130017041,72680,22.330645954183463
481130017042,62734,19.274776324845146
481130018001,76136,23.392488447546945
481130018002,67015,20.590096843968144
481130019001,77256,23.736604070396226
481130019002,72616,22.310982204306363
481130020001,26438,8.122972175793924
481130020002,44934,13.805795890276276
481130020003,46170,14.1855520597778
481130020004,33971,10.437456985547144
481130020005,46254,14.211360731491496
481130021001,87215,26.796467898928327
481130021002,88913,27.318171762855176
481130022001,65437,20.105262511060857
481130022002,44953,13.811633566021039
481130024001,39527,12.144516271753023
481130024002,48725,14.970565824402712
481130024003,44836,13.775685773276964
481130025001,9372,2.87951037262806
481130025002,7550,2.3197079933143248
481130025003,24230,7.4445728050339195
481130025004,50802,15.608715957133027
481130027011,1872,0.5751646839052207
481130027012,1817,0.5582661488545865
481130027013,6854,2.1058647134008455
481130027014,6730,2.067766198013961
481130027021,12214,3.7527037656081017
481130027022,5178,1.5909202634942485
481130031011,92330,28.3680316586373
481130031012,94648,29.080228099498573
481130034001,28307,8.697215121423655
481130034002,35286,10.841485596303215
481130037001,26836,8.24525612034215
481130037002,36964,11.35704453839347
481130037003,22037,6.770782125651362
481130037004,26006,7.9902418641234885
481130038001,20963,6.440799823026251
481130038002,10458,3.213179628355127
481130038003,22152,6.806115426211779
481130039011,6213,1.908919968538
481130039012,5960,1.8311867073050832
481130039021,8774,2.695777209713892
481130039022,12514,3.8448775931570154
481130040001,16502,5.070175007373906
481130040002,1007,0.30939681447251993
481130041001,20017,6.150145020155343
481130041002,17643,5.420742798151608
481130042011,39806,12.230237931373512
481130042012,23792,7.3099990168125055
481130042013,43840,13.469668665814572
481130042014,33792,10.382459935109626
481130042015,32515,9.990106675843084
481130042021,44268,13.601169993117686
481130042022,21738,6.678915544194278
481130042023,18867,5.796812014551175
481130043001,52968,16.27421099203618
481130043002,48773,14.98531363681054
481130043003,26786,8.229893815750664
481130044001,44751,13.749569855471439
481130044002,25377,7.796984072362599
481130044003,31530,9.687469275390818
481130045001,25051,7.696821846426113
481130045002,11012,3.3833939632287877
481130045003,11335,3.482634450889785
481130045004,9653,2.965846524432209
481130046001,38535,11.839728148657949
481130046002,22525,6.920718218464261
481130047001,35090,10.781265362304591
481130047002,32718,10.052477632484514
481130047003,46392,14.253760692163997
481130048001,44932,13.805181398092618
481130048002,43140,13.254596401533773
481130048003,44057,13.53634106774162
481130048004,19253,5.915409005997444
481130049001,13823,4.247062727362108
481130049002,4484,1.3776914757644283
481130049003,13816,4.2449120047193
481130049004,3249,0.998242552354734
481130050001,33026,10.147109428768065
481130050002,42865,13.170103726280601
481130050003,24394,7.494961164093993
481130051001,21733,6.67737931373513
481130051002,22837,7.016578999115131
481130052001,22199,6.820555992527775
481130052002,13889,4.267340969422869
481130052003,12334,3.789573296627667
481130052004,21781,6.692127126142955
481130053001,11295,3.470344607216596
481130053002,9013,2.7692090256611936
481130053003,10114,3.1074869727657064
481130053004,11245,3.4549823026251105
481130053005,10736,3.298594041883787
481130054001,17089,5.250528463277948
481130054002,19414,5.964875626782027
481130054003,17414,5.350383443122603
481130054004,19772,6.074869727657064
481130055001,1819,0.558880641038246
481130055002,6829,2.0981835611051025
481130055003,8555,2.6284903156031856
481130055004,8059,2.476096254055648
481130056001,10652,3.2727853701700913
481130056002,8454,2.5974584603283843
481130056003,8440,2.5931570150427685
481130056004,16533,5.079699636220628
481130057001,1707,0.5244690787533183
481130057002,4479,1.3761552453052797
481130057003,2210,0.6790138629436633
481130057004,1508,0.4633271064792056
481130059011,3997,1.2280626290433587
481130059012,2557,0.7856282568085734
481130059013,2092,0.6427588241077573
481130059014,1418,0.43567495821453156
481130059015,2065,0.6344631796283551
481130059016,2085,0.6406081014649494
481130059021,3193,0.9810367712122702
481130059022,1630,0.5008111296824305
481130060011,8756,2.6902467800609573
481130060012,8930,2.7437076000393272
481130060013,18757,5.763014944449907
481130060021,1209,0.37146052502212173
481130060022,1742,0.5352226919673582
481130060023,1302,0.4000344115622849
481130061001,4419,1.357720479795497
481130061002,2500,0.7681152295742798
481130062001,19455,5.977472716547045
481130062002,18707,5.747652639858421
481130062003,21520,6.611935896175401
481130062004,20693,6.3578433782322294
481130062005,19364,5.949513322190541
481130063011,11634,3.5745010323468684
