,year,depart_time,origin,destination,travel_time
444,2018,8:0:00,481130002011,481130008005,1781
448,2018,8:0:00,481130002011,481130010011,1392
449,2018,8:0:00,481130002011,481130010012,1750
450,2018,8:0:00,481130002011,481130010021,1779
451,2018,8:0:00,481130002011,481130010022,1678
452,2018,8:0:00,481130002011,481130011011,1333
453,2018,8:0:00,481130002011,481130011012,1064
454,2018,8:0:00,481130002011,481130011013,1221
465,2018,8:0:00,481130002011,481130011022,1092
466,2018,8:0:00,481130002011,481130011021,1057
467,2018,8:0:00,481130002011,481130193021,1587
468,2018,8:0:00,481130002011,481130011023,1069
472,2018,8:0:00,481130002011,481130012041,1770
474,2018,8:0:00,481130002011,481130013011,1420
475,2018,8:0:00,481130002011,481130014002,1177
476,2018,8:0:00,481130002011,481130013012,1233
477,2018,8:0:00,481130002011,481130013013,1180
478,2018,8:0:00,481130002011,481130013021,1285
479,2018,8:0:00,481130002011,481130013022,1422
480,2018,8:0:00,481130002011,481130013023,1584
481,2018,8:0:00,481130002011,481130014001,1214
482,2018,8:0:00,481130002011,481130014004,1243
483,2018,8:0:00,481130002011,481130015021,1764
484,2018,8:0:00,481130002011,481130014003,1083
485,2018,8:0:00,481130002011,481130015044,1422
486,2018,8:0:00,481130002011,481130015022,1721
487,2018,8:0:00,481130002011,481130015023,1472
488,2018,8:0:00,481130002011,481130015024,1455
489,2018,8:0:00,481130002011,481130015031,1317
490,2018,8:0:00,481130002011,481130015032,1393
491,2018,8:0:00,481130002011,481130015033,1437
492,2018,8:0:00,481130002011,481130015041,1115
493,2018,8:0:00,481130002011,481130015042,1187
494,2018,8:0:00,481130002011,481130015043,1389
496,2018,8:0:00,481130002011,481130079133,1058
497,2018,8:0:00,481130002011,481130079141,760
498,2018,8:0:00,481130002011,481130079142,1040
500,2018,8:0:00,481130002011,481130080002,1678
501,2018,8:0:00,481130002011,481130080003,1140
503,2018,8:0:00,481130002011,481130080005,1400
504,2018,8:0:00,481130002011,481130080006,999
515,2018,8:0:00,481130002011,481130024003,1714
523,2018,8:0:00,481130002011,481130022001,1565
525,2018,8:0:00,481130002011,481130024001,1298
526,2018,8:0:00,481130002011,481130024002,1751
542,2018,8:0:00,481130002011,481130078091,1646
552,2018,8:0:00,481130002011,481130078192,1730
553,2018,8:0:00,481130002011,481130078201,1789
566,2018,8:0:00,481130002011,481130079023,970
571,2018,8:0:00,481130002011,481130079132,834
572,2018,8:0:00,481130002011,481130078261,1770
576,2018,8:0:00,481130002011,481130079024,1748
577,2018,8:0:00,481130002011,481130079025,1161
579,2018,8:0:00,481130002011,481130079032,1114
581,2018,8:0:00,481130002011,481130079062,1758
582,2018,8:0:00,481130002011,481130079091,1578
583,2018,8:0:00,481130002011,481130079092,1376
585,2018,8:0:00,481130002011,481130079102,1411
588,2018,8:0:00,481130002011,481130079121,1385
589,2018,8:0:00,481130002011,481130079122,1261
590,2018,8:0:00,481130002011,481130079131,948
612,2018,8:0:00,481130002012,481130001003,1579
613,2018,8:0:00,481130002012,481130002011,699
614,2018,8:0:00,481130002012,481130002012,128
615,2018,8:0:00,481130002012,481130002013,664
616,2018,8:0:00,481130002012,481130002021,809
617,2018,8:0:00,481130002012,481130002022,893
618,2018,8:0:00,481130002012,481130002023,844
619,2018,8:0:00,481130002012,481130003001,1301
620,2018,8:0:00,481130002012,481130009004,1608
621,2018,8:0:00,481130002012,481130003002,1489
622,2018,8:0:00,481130002012,481130003003,1621
637,2018,8:0:00,481130002012,481130007021,1663
643,2018,8:0:00,481130002012,481130008004,1441
644,2018,8:0:00,481130002012,481130008005,1641
647,2018,8:0:00,481130002012,481130009003,1728
648,2018,8:0:00,481130002012,481130010011,1409
649,2018,8:0:00,481130002012,481130010012,1767
650,2018,8:0:00,481130002012,481130010021,1796
651,2018,8:0:00,481130002012,481130010022,1695
652,2018,8:0:00,481130002012,481130011011,1193
653,2018,8:0:00,481130002012,481130011012,924
654,2018,8:0:00,481130002012,481130011013,1081
661,2018,8:0:00,481130002012,481130011022,1456
662,2018,8:0:00,481130002012,481130011021,1194
663,2018,8:0:00,481130002012,481130193021,1604
664,2018,8:0:00,481130002012,481130011023,929
670,2018,8:0:00,481130002012,481130013011,1457
671,2018,8:0:00,481130002012,481130014002,1037
672,2018,8:0:00,481130002012,481130013012,1270
673,2018,8:0:00,481130002012,481130013013,1217
674,2018,8:0:00,481130002012,481130013021,1322
675,2018,8:0:00,481130002012,481130013022,1282
676,2018,8:0:00,481130002012,481130013023,1508
677,2018,8:0:00,481130002012,481130014001,1074
678,2018,8:0:00,481130002012,481130014004,1280
679,2018,8:0:00,481130002012,481130015021,1785
680,2018,8:0:00,481130002012,481130014003,943
681,2018,8:0:00,481130002012,481130015044,1282
682,2018,8:0:00,481130002012,481130015022,1758
683,2018,8:0:00,481130002012,481130015023,1509
684,2018,8:0:00,481130002012,481130015024,1492
685,2018,8:0:00,481130002012,481130015031,1177
686,2018,8:0:00,481130002012,481130015032,1253
687,2018,8:0:00,481130002012,481130015033,1297
688,2018,8:0:00,481130002012,481130015041,975
689,2018,8:0:00,481130002012,481130015042,1047
690,2018,8:0:00,481130002012,481130015043,1249
691,2018,8:0:00,481130002012,481130016001,1749
692,2018,8:0:00,481130002012,481130079133,1075
693,2018,8:0:00,481130002012,481130079141,777
694,2018,8:0:00,481130002012,481130079142,787
695,2018,8:0:00,481130002012,481130080001,1781
696,2018,8:0:00,481130002012,481130080002,1763
697,2018,8:0:00,481130002012,481130080003,1080
700,2018,8:0:00,481130002012,481130080006,1170
711,2018,8:0:00,481130002012,481130024003,1751
719,2018,8:0:00,481130002012,481130022001,1425
721,2018,8:0:00,481130002012,481130024001,1335
722,2018,8:0:00,481130002012,481130024002,1788
748,2018,8:0:00,481130002012,481130078192,1747
