GEOID,F1,F2,F3,F4,F5,F6,Number of Records
481130078043,155,1045,48,113,007804,3,1
481130078042,156,344,48,113,007804,2,1
481130078041,157,1607,48,113,007804,1,1
481130078151,158,216,48,113,007815,1,1
481130078153,159,1372,48,113,007815,3,1
481130078152,160,1023,48,113,007815,2,1
481130079022,161,680,48,113,007902,2,1
481130079025,162,458,48,113,007902,5,1
481130079024,163,405,48,113,007902,4,1
481130079021,164,755,48,113,007902,1,1
481130079023,165,563,48,113,007902,3,1
481130119001,166,1078,48,113,011900,1,1
481130135001,167,625,48,113,013500,1,1
481130131022,168,677,48,113,013102,2,1
481130131021,169,340,48,113,013102,1,1
481130135002,170,714,48,113,013500,2,1
481130136172,171,388,48,113,013617,2,1
481130136171,172,763,48,113,013617,1,1
481130136173,173,564,48,113,013617,3,1
481130137211,174,1180,48,113,013721,1,1
481130137213,175,1394,48,113,013721,3,1
481130139012,176,484,48,113,013901,2,1
481130137212,177,1350,48,113,013721,2,1
481130139011,178,843,48,113,013901,1,1
481130139013,179,605,48,113,013901,3,1
481130140013,180,614,48,113,014001,3,1
481130140012,181,516,48,113,014001,2,1
481130140011,182,601,48,113,014001,1,1
481130140014,183,545,48,113,014001,4,1
481130141142,184,841,48,113,014114,2,1
481130141141,185,1379,48,113,014114,1,1
481130137151,186,627,48,113,013715,1,1
481130137162,187,821,48,113,013716,2,1
481130137161,188,1066,48,113,013716,1,1
481130137163,189,857,48,113,013716,3,1
481130166062,190,761,48,113,016606,2,1
481130166061,191,1550,48,113,016606,1,1
481130166064,192,927,48,113,016606,4,1
481130166063,193,838,48,113,016606,3,1
481130166121,194,1056,48,113,016612,1,1
481130166123,195,1929,48,113,016612,3,1
481130166124,196,2202,48,113,016612,4,1
481130166125,197,911,48,113,016612,5,1
481130166122,198,1306,48,113,016612,2,1
481130166126,199,873,48,113,016612,6,1
481130166171,200,528,48,113,016617,1,1
481130166173,201,1204,48,113,016617,3,1
481130166172,202,609,48,113,016617,2,1
481130165172,203,704,48,113,016517,2,1
481130165173,204,150,48,113,016517,3,1
481130165171,205,1372,48,113,016517,1,1
481130178064,206,371,48,113,017806,4,1
481130178062,207,1302,48,113,017806,2,1
481130178063,208,264,48,113,017806,3,1
481130178061,209,707,48,113,017806,1,1
481130178121,210,672,48,113,017812,1,1
481130178122,211,625,48,113,017812,2,1
481130181051,212,285,48,113,018105,1,1
481130181053,213,1060,48,113,018105,3,1
481130181054,214,581,48,113,018105,4,1
481130181052,215,1103,48,113,018105,2,1
481130118002,216,710,48,113,011800,2,1
481130118004,217,940,48,113,011800,4,1
481130126012,218,836,48,113,012601,2,1
481130126011,219,1514,48,113,012601,1,1
481130190244,220,866,48,113,019024,4,1
481130190241,221,654,48,113,019024,1,1
481130190242,222,507,48,113,019024,2,1
481130190243,223,456,48,113,019024,3,1
481130190323,224,1031,48,113,019032,3,1
481130190371,225,406,48,113,019037,1,1
481130190372,226,1112,48,113,019037,2,1
481130190373,227,517,48,113,019037,3,1
481130192102,228,513,48,113,019210,2,1
481130192104,229,451,48,113,019210,4,1
481130192101,230,560,48,113,019210,1,1
481130192103,231,498,48,113,019210,3,1
481130137171,232,826,48,113,013717,1,1
481130137172,233,631,48,113,013717,2,1
481130141211,234,272,48,113,014121,1,1
481130122101,235,723,48,113,012210,1,1
481130122102,236,1511,48,113,012210,2,1
481130164074,237,745,48,113,016407,4,1
481130166071,238,936,48,113,016607,1,1
481130166072,239,320,48,113,016607,2,1
481130151001,240,642,48,113,015100,1,1
481130002011,241,713,48,113,000201,1,1
481130002013,242,474,48,113,000201,3,1
481130002012,243,729,48,113,000201,2,1
481130012032,244,540,48,113,001203,2,1
481130012031,245,374,48,113,001203,1,1
481130015021,246,538,48,113,001502,1,1
481130015024,247,732,48,113,001502,4,1
481130015022,248,361,48,113,001502,2,1
481130015023,249,309,48,113,001502,3,1
481130022001,250,1206,48,113,002200,1,1
481130022002,251,439,48,113,002200,2,1
481130024001,252,278,48,113,002400,1,1
481130024003,253,482,48,113,002400,3,1
481130024002,254,804,48,113,002400,2,1
481130031011,255,1635,48,113,003101,1,1
481130034002,256,373,48,113,003400,2,1
481130034001,257,235,48,113,003400,1,1
481130039012,258,318,48,113,003901,2,1
481130053005,259,883,48,113,005300,5,1
481130053003,260,402,48,113,005300,3,1
481130053002,261,967,48,113,005300,2,1
481130053004,262,642,48,113,005300,4,1
481130053001,263,665,48,113,005300,1,1
481130181182,264,844,48,113,018118,2,1
481130181183,265,1145,48,113,018118,3,1
481130181181,266,361,48,113,018118,1,1
481130181292,267,1072,48,113,018129,2,1
481130181291,268,1242,48,113,018129,1,1
481130190181,269,1054,48,113,019018,1,1
481130190182,270,790,48,113,019018,2,1
481130019001,271,2308,48,113,001900,1,1
481130043001,272,500,48,113,004300,1,1
481130043002,273,161,48,113,004300,2,1
481130043003,274,411,48,113,004300,3,1
481130060021,275,1508,48,113,006002,1,1
481130060023,276,535,48,113,006002,3,1
481130190332,277,554,48,113,019033,2,1
481130060022,278,585,48,113,006002,2,1
481130190331,279,645,48,113,019033,1,1
481130190333,280,1210,48,113,019033,3,1
481130194001,281,361,48,113,019400,1,1
481130194003,282,1020,48,113,019400,3,1
481130194002,283,576,48,113,019400,2,1
481130158001,284,312,48,113,015800,1,1
481130158002,285,696,48,113,015800,2,1
481130160014,286,400,48,113,016001,4,1
481130160012,287,262,48,113,016001,2,1
481130160011,288,515,48,113,016001,1,1
481130160013,289,688,48,113,016001,3,1
481130162021,290,1077,48,113,016202,1,1
481130162022,291,505,48,113,016202,2,1
481130161002,292,525,48,113,016100,2,1
481130010011,293,637,48,113,001001,1,1
481130010012,294,426,48,113,001001,2,1
481130015043,295,451,48,113,001504,3,1
481130015041,296,545,48,113,001504,1,1
481130015042,297,178,48,113,001504,2,1
481130015044,298,223,48,113,001504,4,1
481130016002,299,834,48,113,001600,2,1
481130016001,300,1990,48,113,001600,1,1
481130017011,301,406,48,113,001701,1,1
481130140021,302,15,48,113,014002,1,1
481130141231,303,1344,48,113,014123,1,1
481130141232,304,767,48,113,014123,2,1
481130141233,305,730,48,113,014123,3,1
481130141234,306,503,48,113,014123,4,1
481130153061,307,521,48,113,015306,1,1
481130153063,308,704,48,113,015306,3,1
481130153062,309,1571,48,113,015306,2,1
481130162013,310,690,48,113,016201,3,1
481130162011,311,1101,48,113,016201,1,1
481130162012,312,364,48,113,016201,2,1
481130164081,313,1462,48,113,016408,1,1
481130164083,314,560,48,113,016408,3,1
481130164082,315,1059,48,113,016408,2,1
481130164084,316,1234,48,113,016408,4,1
481130165102,317,1968,48,113,016510,2,1
481130165101,318,1878,48,113,016510,1,1
481130165163,319,265,48,113,016516,3,1
481130165164,320,775,48,113,016516,4,1
481130165162,321,421,48,113,016516,2,1
481130165165,322,477,48,113,016516,5,1
481130165161,323,645,48,113,016516,1,1
481130166052,324,1922,48,113,016605,2,1
481130181101,325,826,48,113,018110,1,1
481130181103,326,530,48,113,018110,3,1
481130181102,327,1093,48,113,018110,2,1
481130184031,328,624,48,113,018403,1,1
481130190193,329,654,48,113,019019,3,1
481130190191,330,1629,48,113,019019,1,1
481130190192,331,941,48,113,019019,2,1
481130190216,332,749,48,113,019021,6,1
481130190212,333,377,48,113,019021,2,1
481130190214,334,1032,48,113,019021,4,1
481130190215,335,366,48,113,019021,5,1
481130190211,336,669,48,113,019021,1,1
481130190213,337,629,48,113,019021,3,1
481130190271,338,595,48,113,019027,1,1
481130192031,339,540,48,113,019203,1,1
481130192032,340,410,48,113,019203,2,1
481130192034,341,394,48,113,019203,4,1
481130192033,342,585,48,113,019203,3,1
481130192061,343,1490,48,113,019206,1,1
481130192064,344,659,48,113,019206,4,1
481130192062,345,749,48,113,019206,2,1
481130192063,346,291,48,113,019206,3,1
481130192111,347,865,48,113,019211,1,1
481130192112,348,612,48,113,019211,2,1
481130192113,349,513,48,113,019211,3,1
481130042013,350,400,48,113,004201,3,1
481130042015,351,352,48,113,004201,5,1
481130042012,352,496,48,113,004201,2,1
481130042022,353,613,48,113,004202,2,1
481130042021,354,535,48,113,004202,1,1
481130042023,355,240,48,113,004202,3,1
481130048002,356,285,48,113,004800,2,1
481130048001,357,432,48,113,004800,1,1
481130048003,358,176,48,113,004800,3,1
481130048004,359,443,48,113,004800,4,1
481130049003,360,209,48,113,004900,3,1
481130049004,361,133,48,113,004900,4,1
481130049001,362,528,48,113,004900,1,1
481130049002,363,509,48,113,004900,2,1
481130055002,364,727,48,113,005500,2,1
481130055001,365,218,48,113,005500,1,1
481130055003,366,438,48,113,005500,3,1
481130055004,367,434,48,113,005500,4,1
481130059014,368,267,48,113,005901,4,1
481130059015,369,207,48,113,005901,5,1
481130059016,370,324,48,113,005901,6,1
481130059013,371,394,48,113,005901,3,1
481130059012,372,210,48,113,005901,2,1
481130059011,373,508,48,113,005901,1,1
481130060012,374,881,48,113,006001,2,1
481130060011,375,292,48,113,006001,1,1
481130060013,376,689,48,113,006001,3,1
481130063021,377,985,48,113,006302,1,1
481130190131,378,393,48,113,019013,1,1
481130190132,379,806,48,113,019013,2,1
481130190134,380,987,48,113,019013,4,1
481130190133,381,333,48,113,019013,3,1
481130191001,382,698,48,113,019100,1,1
481130191004,383,1030,48,113,019100,4,1
481130191002,384,528,48,113,019100,2,1
481130191005,385,386,48,113,019100,5,1
481130191003,386,971,48,113,019100,3,1
481130096111,387,769,48,113,009611,1,1
481130096112,388,819,48,113,009611,2,1
481130096113,389,533,48,113,009611,3,1
481130190363,390,530,48,113,019036,3,1
481130190361,391,363,48,113,019036,1,1
481130190362,392,782,48,113,019036,2,1
481130168042,393,1144,48,113,016804,2,1
481130168043,394,2090,48,113,016804,3,1
481130168041,395,1660,48,113,016804,1,1
481130182061,396,866,48,113,018206,1,1
481130182062,397,482,48,113,018206,2,1
481130182064,398,231,48,113,018206,4,1
481130182063,399,457,48,113,018206,3,1
481130092015,400,524,48,113,009201,5,1
481130092011,401,1021,48,113,009201,1,1
481130093031,402,579,48,113,009303,1,1
481130093032,403,574,48,113,009303,2,1
481130093033,404,595,48,113,009303,3,1
481130100001,405,1851,48,113,010000,1,1
481130100002,406,920,48,113,010000,2,1
481130101011,407,594,48,113,010101,1,1
481130101012,408,451,48,113,010101,2,1
481130101013,409,1016,48,113,010101,3,1
481130108033,410,660,48,113,010803,3,1
481130108032,411,375,48,113,010803,2,1
481130108035,412,1139,48,113,010803,5,1
481130108036,413,929,48,113,010803,6,1
481130108034,414,325,48,113,010803,4,1
481130108031,415,443,48,113,010803,1,1
481130110022,416,449,48,113,011002,2,1
481130110023,417,268,48,113,011002,3,1
481130110021,418,666,48,113,011002,1,1
481130111013,419,520,48,113,011101,3,1
481130111011,420,812,48,113,011101,1,1
481130111012,421,685,48,113,011101,2,1
481130141241,422,1384,48,113,014124,1,1
481130141242,423,760,48,113,014124,2,1
481130181042,424,2087,48,113,018104,2,1
481130181041,425,2243,48,113,018104,1,1
481130181201,426,1317,48,113,018120,1,1
481130181202,427,1393,48,113,018120,2,1
481130181233,428,895,48,113,018123,3,1
481130181232,429,1753,48,113,018123,2,1
481130181231,430,2424,48,113,018123,1,1
481130181244,431,661,48,113,018124,4,1
481130181241,432,3967,48,113,018124,1,1
481130063022,433,632,48,113,006302,2,1
481130063023,434,838,48,113,006302,3,1
481130068003,435,802,48,113,006800,3,1
481130068001,436,808,48,113,006800,1,1
481130068002,437,1332,48,113,006800,2,1
481130071022,438,530,48,113,007102,2,1
481130071021,439,835,48,113,007102,1,1
481130071025,440,504,48,113,007102,5,1
481130071024,441,870,48,113,007102,4,1
481130071023,442,391,48,113,007102,3,1
481130072013,443,1102,48,113,007201,3,1
481130072014,444,290,48,113,007201,4,1
481130072011,445,1150,48,113,007201,1,1
481130072015,446,1064,48,113,007201,5,1
481130072012,447,628,48,113,007201,2,1
481130078012,448,330,48,113,007801,2,1
481130078011,449,574,48,113,007801,1,1
481130081004,450,813,48,113,008100,4,1
481130081002,451,510,48,113,008100,2,1
481130081001,452,1062,48,113,008100,1,1
481130081003,453,845,48,113,008100,3,1
481130081005,454,534,48,113,008100,5,1
481130085001,455,456,48,113,008500,1,1
481130085002,456,552,48,113,008500,2,1
481130136093,457,475,48,113,013609,3,1
481130136091,458,1151,48,113,013609,1,1
481130136092,459,413,48,113,013609,2,1
481130144051,460,798,48,113,014405,1,1
481130144053,461,505,48,113,014405,3,1
481130012022,462,524,48,113,001202,2,1
481130144052,463,722,48,113,014405,2,1
481130012023,464,326,48,113,001202,3,1
481130012021,465,1733,48,113,001202,1,1
481130190351,466,40,48,113,019035,1,1
481130195012,467,474,48,113,019501,2,1
481130195013,468,776,48,113,019501,3,1
481130195014,469,534,48,113,019501,4,1
481130195015,470,243,48,113,019501,5,1
481130195011,471,892,48,113,019501,1,1
481130190046,472,739,48,113,019004,6,1
481130190041,473,508,48,113,019004,1,1
481130190045,474,1017,48,113,019004,5,1
481130190042,475,670,48,113,019004,2,1
481130190043,476,452,48,113,019004,3,1
481130190044,477,528,48,113,019004,4,1
481130192052,478,418,48,113,019205,2,1
481130111052,479,485,48,113,011105,2,1
481130111053,480,388,48,113,011105,3,1
481130111051,481,593,48,113,011105,1,1
481130116012,482,599,48,113,011601,2,1
481130116013,483,211,48,113,011601,3,1
481130116011,484,725,48,113,011601,1,1
481130122081,485,861,48,113,012208,1,1
481130122111,486,486,48,113,012211,1,1
481130122112,487,620,48,113,012211,2,1
481130122113,488,997,48,113,012211,3,1
481130124004,489,760,48,113,012400,4,1
481130124005,490,282,48,113,012400,5,1
481130124001,491,1133,48,113,012400,1,1
481130124006,492,430,48,113,012400,6,1
481130124003,493,265,48,113,012400,3,1
481130124002,494,418,48,113,012400,2,1
481130129001,495,1016,48,113,012900,1,1
481130129003,496,469,48,113,012900,3,1
481130129002,497,378,48,113,012900,2,1
481130129005,498,530,48,113,012900,5,1
481130129004,499,595,48,113,012900,4,1
481130128002,500,885,48,113,012800,2,1
481130128006,501,611,48,113,012800,6,1
481130128005,502,461,48,113,012800,5,1
481130128003,503,881,48,113,012800,3,1
481130128001,504,825,48,113,012800,1,1
481130128004,505,373,48,113,012800,4,1
481130137251,506,1392,48,113,013725,1,1
481130137252,507,269,48,113,013725,2,1
481130138042,508,663,48,113,013804,2,1
481130138043,509,853,48,113,013804,3,1
481130138041,510,341,48,113,013804,1,1
481130141162,511,757,48,113,014116,2,1
481130141164,512,151,48,113,014116,4,1
481130141161,513,933,48,113,014116,1,1
481130141163,514,571,48,113,014116,3,1
481130182042,515,1370,48,113,018204,2,1
481130182041,516,773,48,113,018204,1,1
481130184023,517,1173,48,113,018402,3,1
481130184021,518,883,48,113,018402,1,1
481130184022,519,325,48,113,018402,2,1
481130190141,520,1311,48,113,019014,1,1
481130062003,521,778,48,113,006200,3,1
481130062001,522,373,48,113,006200,1,1
481130062005,523,443,48,113,006200,5,1
481130062004,524,1154,48,113,006200,4,1
481130190251,525,632,48,113,019025,1,1
481130190252,526,768,48,113,019025,2,1
481130190341,527,1155,48,113,019034,1,1
481130190342,528,1804,48,113,019034,2,1
481130192025,529,897,48,113,019202,5,1
481130192024,530,321,48,113,019202,4,1
481130192021,531,376,48,113,019202,1,1
481130192022,532,532,48,113,019202,2,1
481130192023,533,619,48,113,019202,3,1
481130130091,534,526,48,113,013009,1,1
481130130092,535,835,48,113,013009,2,1
481130130093,536,1096,48,113,013009,3,1
481130132004,537,563,48,113,013200,4,1
481130132001,538,951,48,113,013200,1,1
481130132003,539,755,48,113,013200,3,1
481130132002,540,1455,48,113,013200,2,1
481130136061,541,1521,48,113,013606,1,1
481130136063,542,1298,48,113,013606,3,1
481130136062,543,589,48,113,013606,2,1
481130136082,544,569,48,113,013608,2,1
481130136081,545,550,48,113,013608,1,1
481130136161,546,1960,48,113,013616,1,1
481130136162,547,2320,48,113,013616,2,1
481130136191,548,1531,48,113,013619,1,1
481130136192,549,668,48,113,013619,2,1
481130136193,550,791,48,113,013619,3,1
481130137141,551,870,48,113,013714,1,1
481130137144,552,830,48,113,013714,4,1
481130137142,553,822,48,113,013714,2,1
481130141165,554,696,48,113,014116,5,1
481130141203,555,874,48,113,014120,3,1
481130141202,556,768,48,113,014120,2,1
481130141201,557,1158,48,113,014120,1,1
481130143074,558,640,48,113,014307,4,1
481130143072,559,542,48,113,014307,2,1
481130143073,560,418,48,113,014307,3,1
481130143075,561,459,48,113,014307,5,1
481130143071,562,469,48,113,014307,1,1
481130144071,563,1454,48,113,014407,1,1
481130144073,564,935,48,113,014407,3,1
481130144072,565,666,48,113,014407,2,1
481130149011,566,685,48,113,014901,1,1
481130153042,567,1707,48,113,015304,2,1
481130153041,568,237,48,113,015304,1,1
481130164061,569,984,48,113,016406,1,1
481130164063,570,588,48,113,016406,3,1
481130164062,571,655,48,113,016406,2,1
481130164064,572,473,48,113,016406,4,1
481130165095,573,636,48,113,016509,5,1
481130165094,574,295,48,113,016509,4,1
481130165093,575,446,48,113,016509,3,1
481130021001,576,537,48,113,002100,1,1
481130041002,577,240,48,113,004100,2,1
481130196001,578,580,48,113,019600,1,1
481130196002,579,409,48,113,019600,2,1
481130198001,580,893,48,113,019800,1,1
481130198004,581,379,48,113,019800,4,1
481130198002,582,419,48,113,019800,2,1
481130198003,583,663,48,113,019800,3,1
481130002021,584,655,48,113,000202,1,1
481130002022,585,755,48,113,000202,2,1
481130094011,586,959,48,113,009401,1,1
481130094013,587,434,48,113,009401,3,1
481130094012,588,666,48,113,009401,2,1
481130122043,589,750,48,113,012204,3,1
481130122042,590,206,48,113,012204,2,1
481130122045,591,1228,48,113,012204,5,1
481130122044,592,1226,48,113,012204,4,1
481130122041,593,362,48,113,012204,1,1
481130137131,594,515,48,113,013713,1,1
481130170015,595,1049,48,113,017001,5,1
481130170012,596,320,48,113,017001,2,1
481130170013,597,949,48,113,017001,3,1
481130170011,598,165,48,113,017001,1,1
481130170014,599,955,48,113,017001,4,1
481130177033,600,278,48,113,017703,3,1
481130177031,601,655,48,113,017703,1,1
481130177032,602,496,48,113,017703,2,1
481130177034,603,902,48,113,017703,4,1
481130078101,604,0,48,113,007810,1,1
481130078102,605,643,48,113,007810,2,1
481130078103,606,743,48,113,007810,3,1
481130078104,607,1082,48,113,007810,4,1
481130173043,608,1869,48,113,017304,3,1
481130173041,609,499,48,113,017304,1,1
481130173042,610,1993,48,113,017304,2,1
481130173051,611,1555,48,113,017305,1,1
481130173052,612,3967,48,113,017305,2,1
481130176041,613,551,48,113,017604,1,1
481130176042,614,966,48,113,017604,2,1
481130181114,615,1466,48,113,018111,4,1
481130181113,616,947,48,113,018111,3,1
481130181112,617,414,48,113,018111,2,1
