,origin,Jobs,
173,4.81E+11,802093.5,2.1250132
174,4.81E+11,1783751,4.828354496
175,4.81E+11,292900.5,0.833062247
176,4.81E+11,388897.5,1.115387028
177,4.81E+11,66707.5,0.193480136
178,4.81E+11,196731.5,0.571711214
179,4.81E+11,201559.5,0.58910962
180,4.81E+11,292721.5,0.860624095
181,4.81E+11,199771.5,0.592442531
182,4.81E+11,116899,0.348741869
183,4.81E+11,202185.5,0.605285842
184,4.81E+11,8301,0.025002166
185,4.81E+11,58443.5,0.176072704
186,4.81E+11,52942,0.159779666
187,4.81E+11,52942,0.16003537
188,4.81E+11,295690.5,0.895258776
189,4.81E+11,202912,0.619904109
190,4.81E+11,191581,0.588938313
191,4.81E+11,142444,0.440480635
192,4.81E+11,471880,1.465653938
193,4.81E+11,39311,0.123915696
194,4.81E+11,488734,1.542493262
195,4.81E+11,136419.5,0.437298857
196,4.81E+11,238299,0.767233289
197,4.81E+11,241299,0.782898823
198,4.81E+11,238864,0.781113754
199,4.81E+11,31003,0.102181661
200,4.81E+11,782307,2.581014527
201,4.81E+11,488151.5,1.653195667
202,4.81E+11,136217,0.469073274
203,4.81E+11,238754,0.826041727
204,4.81E+11,236071,0.823562043
205,4.81E+11,139395,0.490334411
206,4.81E+11,360593,1.274668347
207,4.81E+11,25387,0.090899751
208,4.81E+11,24399.5,0.087443431
209,4.81E+11,23091.5,0.082828221
210,4.81E+11,245428,0.881069493
211,4.81E+11,176080.5,0.637735674
212,4.81E+11,177290,0.646237579
213,4.81E+11,176032.5,0.645827461
214,4.81E+11,175627.5,0.648529983
215,4.81E+11,264786,0.984143122
216,4.81E+11,265255.5,0.995687122
217,4.81E+11,261421.5,0.991164367
218,4.81E+11,172407,0.660214898
219,4.81E+11,5059.5,0.019503601
220,4.81E+11,11941,0.046039714
221,4.81E+11,7218.5,0.027844465
222,4.81E+11,7191.5,0.027748042
223,4.81E+11,173677,0.67030999
224,4.81E+11,173393,0.673729965
225,4.81E+11,75178,0.294090465
226,4.81E+11,175137,0.687143089
227,4.81E+11,40791.5,0.161151175
228,4.81E+11,30907,0.122298488
229,4.81E+11,23868.5,0.094562909
230,4.81E+11,19274.5,0.076434547
231,4.81E+11,19350.5,0.076794628
232,4.81E+11,23831.5,0.094650666
233,4.81E+11,21783.5,0.086598668
234,4.81E+11,22467.5,0.089395274
235,4.81E+11,20881,0.083157134
236,4.81E+11,47141,0.187892008
237,4.81E+11,47310,0.188920566
238,4.81E+11,10554,0.042224511
239,4.81E+11,47463,0.189970488
240,4.81E+11,38988,0.156346343
241,4.81E+11,108489,0.435734564
242,4.81E+11,18608,0.075064139
243,4.81E+11,23559,0.095107723
244,4.81E+11,11449.5,0.046265653
245,4.81E+11,47824,0.193338814
246,4.81E+11,22666,0.091809688
247,4.81E+11,23325,0.094565818
248,4.81E+11,18388.5,0.074622488
249,4.81E+11,2574.5,0.010455397
250,4.81E+11,20986.5,0.08523796
251,4.81E+11,10572.5,0.042977492
252,4.81E+11,12416,0.050493069
253,4.81E+11,19678.5,0.080068446
254,4.81E+11,13737,0.055938289
255,4.81E+11,11413,0.046500765
256,4.81E+11,10600,0.043208396
257,4.81E+11,11880,0.048446947
258,4.81E+11,2625.5,0.010712047
259,4.81E+11,36537,0.149087021
260,4.81E+11,32884.5,0.134383564
261,4.81E+11,26165.5,0.107070039
262,4.81E+11,24356,0.099772335
263,4.81E+11,24875,0.102000144
264,4.81E+11,936.5,0.003844047
265,4.81E+11,2358.5,0.009681296
266,4.81E+11,2285,0.009380497
267,4.81E+11,35446,0.145528354
268,4.81E+11,10201.5,0.041944681
269,4.81E+11,23799.5,0.097895539
270,4.81E+11,52628,0.216689216
271,4.81E+11,39646.5,0.163594002
272,4.81E+11,24621.5,0.101762576
273,4.81E+11,24234.5,0.100265107
274,4.81E+11,10236.5,0.042393855
275,4.81E+11,44435,0.184102955
276,4.81E+11,12994.5,0.053938074
277,4.81E+11,33451,0.13892464
278,4.81E+11,11202,0.046587511
279,4.81E+11,6062.5,0.025224819
280,4.81E+11,79698,0.331690702
281,4.81E+11,30431,0.127070578
282,4.81E+11,25999,0.108702026
283,4.81E+11,10298.5,0.043104966
284,4.81E+11,11468.5,0.048022769
285,4.81E+11,12867,0.053904682
286,4.81E+11,26575,0.111392675
287,4.81E+11,12851,0.05392676
288,4.81E+11,18670.5,0.078389449
289,4.81E+11,5422,0.02278252
290,4.81E+11,3102,0.01303716
291,4.81E+11,9233.5,0.038811835
292,4.81E+11,10057,0.042289725
293,4.81E+11,5851.5,0.024615991
294,4.81E+11,14351,0.060386407
295,4.81E+11,26055,0.109700963
296,4.81E+11,5421.5,0.022851542
297,4.81E+11,8004.5,0.03374656
298,4.81E+11,24339.5,0.10264872
299,4.81E+11,24658.5,0.10410092
300,4.81E+11,33634,0.142140806
301,4.81E+11,46604.5,0.19723585
302,4.81E+11,33564,0.142327606
303,4.81E+11,10987,0.046656603
304,4.81E+11,15542.5,0.06603247
305,4.81E+11,90434,0.384463645
306,4.81E+11,10449,0.044593462
307,4.81E+11,23711,0.101237181
308,4.81E+11,23377,0.099912273
309,4.81E+11,23439,0.100277448
310,4.81E+11,23377,0.100112588
311,4.81E+11,11093,0.047553657
312,4.81E+11,7855.5,0.03369111
313,4.81E+11,12222.5,0.052438212
314,4.81E+11,7592.5,0.032591205
315,4.81E+11,9175,0.03939701
316,4.81E+11,13832.5,0.059419501
317,4.81E+11,12222.5,0.052534729
318,4.81E+11,12222.5,0.052562343
319,4.81E+11,12222.5,0.052589985
320,4.81E+11,12222.5,0.052617657
321,4.81E+11,12485,0.053776011
322,4.81E+11,48271,0.208027112
323,4.81E+11,93626,0.404328639
324,4.81E+11,28910,0.125356155
325,4.81E+11,51852,0.225116765
326,4.81E+11,28006,0.121863089
327,4.81E+11,33881,0.147606977
328,4.81E+11,1999,0.008721777
329,4.81E+11,14360,0.062659151
330,4.81E+11,11730,0.051215367
331,4.81E+11,89598,0.391402033
