GeoId	0	Worker	state	county	tract	block group
481130137213	175	1394	48	113	13721	3
481130139012	176	484	48	113	13901	2
481130137212	177	1350	48	113	13721	2
481130139011	178	843	48	113	13901	1
481130139013	179	605	48	113	13901	3
481130140013	180	614	48	113	14001	3
481130140012	181	516	48	113	14001	2
481130140011	182	601	48	113	14001	1
481130140014	183	545	48	113	14001	4
481130141142	184	841	48	113	14114	2
481130141141	185	1379	48	113	14114	1
481130137151	186	627	48	113	13715	1
481130137162	187	821	48	113	13716	2
481130137161	188	1066	48	113	13716	1
481130137163	189	857	48	113	13716	3
481130166062	190	761	48	113	16606	2
481130166061	191	1550	48	113	16606	1
481130166064	192	927	48	113	16606	4
481130166063	193	838	48	113	16606	3
481130166121	194	1056	48	113	16612	1
481130166123	195	1929	48	113	16612	3
481130166124	196	2202	48	113	16612	4
481130166125	197	911	48	113	16612	5
481130166122	198	1306	48	113	16612	2
481130166126	199	873	48	113	16612	6
481130166171	200	528	48	113	16617	1
481130166173	201	1204	48	113	16617	3
481130166172	202	609	48	113	16617	2
481130165172	203	704	48	113	16517	2
481130165173	204	150	48	113	16517	3
481130165171	205	1372	48	113	16517	1
481130178064	206	371	48	113	17806	4
481130178062	207	1302	48	113	17806	2
481130178063	208	264	48	113	17806	3
481130178061	209	707	48	113	17806	1
481130178121	210	672	48	113	17812	1
481130178122	211	625	48	113	17812	2
481130181051	212	285	48	113	18105	1
481130181053	213	1060	48	113	18105	3
481130181054	214	581	48	113	18105	4
481130181052	215	1103	48	113	18105	2
481130118002	216	710	48	113	11800	2
481130118004	217	940	48	113	11800	4
481130126012	218	836	48	113	12601	2
481130126011	219	1514	48	113	12601	1
481130190244	220	866	48	113	19024	4
481130190241	221	654	48	113	19024	1
481130190242	222	507	48	113	19024	2
481130190243	223	456	48	113	19024	3
481130190323	224	1031	48	113	19032	3
481130190371	225	406	48	113	19037	1
481130190372	226	1112	48	113	19037	2
481130190373	227	517	48	113	19037	3
481130192102	228	513	48	113	19210	2
481130192104	229	451	48	113	19210	4
481130192101	230	560	48	113	19210	1
481130192103	231	498	48	113	19210	3
481130137171	232	826	48	113	13717	1
481130137172	233	631	48	113	13717	2
481130141211	234	272	48	113	14121	1
481130122101	235	723	48	113	12210	1
