origin,Jobs,%_accesible
481130001001,1176,0.6168889075401031
481130001002,3310,1.73631146595046
481130001003,3847,2.018003084444538
481130002011,12489,6.551297250228186
481130002012,14088,7.390077320939602
481130002013,15511,8.136533881679028
481130002021,22328,11.712496196900869
481130002022,19624,10.294071361876684
481130002023,19096,10.01710083196072
481130003001,21787,11.428706316816516
481130003002,22044,11.563519623991523
481130003003,23733,12.44951058048407
481130004011,37726,19.789754188654697
481130004012,21731,11.399330654552703
481130004013,24304,12.749037422495462
481130004041,22610,11.860423639015076
481130004042,29980,15.726470619092082
481130004043,15030,7.884217925448765
481130004044,20055,10.520159048228543
481130004051,21706,11.3862165196135
481130004052,24489,12.846082021045563
481130004061,16974,8.903973058321181
481130004062,15325,8.038964717731359
481130004063,12095,6.344618483586349
481130004064,14419,7.563708467534648
481130004065,17163,9.003115918461555
481130005001,23975,12.576455406695553
481130005002,25757,13.511230945161934
481130005003,25346,13.29563456676144
481130005004,27914,14.642718507716356
481130006011,18788,9.855534689509742
481130006012,14891,7.811303335186798
481130006013,24512,12.85814702518963
481130006014,15423,8.090372126693035
481130006015,18298,9.598497644701364
481130006031,19310,10.129357827040298
481130006032,17336,9.093865732240838
481130006033,21261,11.152784917695689
481130006034,26730,14.021633076995709
481130006051,30590,16.04645551160863
481130006052,30014,15.7443058426094
481130006061,25622,13.440414616490237
481130006062,31267,16.401586285762246
481130006063,34256,17.96951225909334
481130007011,33098,17.362065528709465
481130007012,36920,19.366954478214797
481130007021,26305,13.79869278302926
481130007022,22156,11.622270948519152
481130007023,26275,13.782955821102217
481130008001,22852,11.98736846522656
481130008002,25283,13.262586946714647
481130008003,25999,13.638175771373417
481130008004,33929,17.79797937408857
481130008005,33075,17.3500005245654
481130009001,23016,12.07339719042773
481130009002,23191,12.16519613500215
481130009003,23834,12.502491685638448
481130009004,29181,15.307342866435159
481130010011,24455,12.828246797528248
481130010012,20034,10.509143174879613
481130010021,21368,11.208913415235477
481130010022,28344,14.868281628670646
481130011011,30660,16.083175089438402
481130011012,21184,11.112393382082944
481130011013,22643,11.877734297134824
481130011021,11226,5.888771153099657
481130011022,12818,6.723879266028096
481130011023,23191,12.16519613500215
481130012021,2743,1.438882885529339
481130012022,13617,7.14300701868502
481130012023,5421,2.8436690202167507
481130012031,20651,10.83280002517914
481130012032,16905,8.867778045888981
481130012041,13224,6.93685281744075
481130012042,14091,7.391651017132306
481130013011,14125,7.409486240649622
481130013012,9941,5.21470461722463
481130013013,19998,10.49025882056716
481130013021,21013,11.022692699098796
481130013022,28143,14.762843983759455
481130013023,18852,9.889106874954102
481130014001,26079,13.680141003178866
481130014002,29613,15.533955118184583
481130014003,20782,10.901518092260561
481130014004,21213,11.12760577861242
481130015021,18885,9.906417533073848
481130015022,32461,17.027917370458574
481130015023,25448,13.349140237313387
481130015024,26990,14.158020080363418
481130015031,29088,15.258558284461325
481130015032,30911,16.214841004228
481130015033,40191,21.082807893660103
481130015041,30527,16.01340789156184
481130015042,32700,17.153288500477355
481130015043,30142,15.811450213498116
481130015044,35963,18.864945392742115
481130016001,39848,20.902881962294238
481130016002,38717,20.3095984976447
481130017011,42962,22.536378610321346
481130017031,31496,16.521711761805342
481130017032,32896,17.256103318400704
481130017033,30506,16.00239201821291
481130017041,34426,18.05868837667992
481130017042,32453,17.023720847278028
481130018001,37440,19.63972848495022
481130018002,30784,16.148221198736845
481130019001,35277,18.505093530010384
481130019002,33064,17.34423030519215
481130020001,13614,7.141433322492315
481130020002,22315,11.705676846732482
481130020003,23392,12.270633779913343
481130020004,18509,9.709180943588237
481130020005,23235,12.188277012495147
481130021001,42521,22.30504526999381
481130021002,45243,23.73291228217422
481130022001,37244,19.536913667026866
481130022002,24481,12.841885497865018
481130024001,22099,11.592370720857769
481130024002,23553,12.355088808921808
481130024003,21480,11.267664739763106
481130025001,5638,2.9574997114890316
481130025002,5779,3.0314634325461354
481130025003,13651,7.160842242202335
481130025004,27017,14.172183346097759
481130027011,1582,0.8298624589527577
481130027012,1549,0.8125518008330099
481130027013,4278,2.244090770796395
481130027014,4190,2.1979290158104012
481130027021,6202,3.253354595717448
481130027022,3042,1.5957279394022053
481130031011,46635,24.463107315589035
481130031012,47851,25.10097883903186
481130034001,14900,7.816024423764912
481130034002,18536,9.723344209322576
481130037001,13233,6.9415739060188635
481130037002,18536,9.723344209322576
481130037003,10617,5.569310825980675
481130037004,13852,7.266279887113527
481130038001,10260,5.382040979048858
481130038002,4833,2.5352245664466992
481130038003,10932,5.734548926214631
481130039011,3423,1.795587355875657
481130039012,3267,1.7137551538550309
481130039021,4931,2.586631975408374
481130039022,5985,3.139523904445167
481130040001,7290,3.8240817482715572
481130040002,523,0.27434770292812405
481130041001,10223,5.3626320593388375
481130041002,9431,4.947176264464891
481130042011,17127,8.984231564149102
481130042012,12101,6.347765875971757
481130042013,22585,11.847309504075874
481130042014,16964,8.8987274043455
481130042015,17009,8.922332847236065
481130042021,20601,10.806571755300734
481130042022,11613,6.091777961958518
481130042023,10371,5.440267738178918
481130043001,25380,13.313469790278754
481130043002,21517,11.287073659473126
481130043003,12909,6.771614717206795
481130044001,20496,10.751492388556082
481130044002,13635,7.152449195841245
481130044003,15142,7.942969249976395
481130045001,13447,7.05383090109844
481130045002,6834,3.5848799269804963
481130045003,6921,3.6305171165689223
481130045004,6356,3.334137666942938
481130046001,17528,9.194582288573915
481130046002,12010,6.300030424793059
481130047001,19414,10.183912628387382
481130047002,17106,8.973215690800172
481130047003,20597,10.80447349371046
481130048001,22546,11.826851453570717
481130048002,21739,11.403527177733249
481130048003,22017,11.549356358257185
481130048004,10118,5.307552692594186
481130049001,7306,3.8324747946326467
481130049002,2995,1.571073365716504
481130049003,7487,3.9274211315924754
481130049004,2249,1.1797475791306902
481130050001,18008,9.44637367940661
481130050002,19832,10.403180964570852
