0,workforce,state,county,tract,block group
235,1293,48,113,012210,1
236,1996,48,113,012210,2
237,1123,48,113,016407,4
238,1171,48,113,016607,1
239,418,48,113,016607,2
240,867,48,113,015100,1
241,808,48,113,000201,1
242,619,48,113,000201,3
243,931,48,113,000201,2
244,702,48,113,001203,2
245,492,48,113,001203,1
246,708,48,113,001502,1
247,1005,48,113,001502,4
248,504,48,113,001502,2
249,462,48,113,001502,3
250,1659,48,113,002200,1
251,551,48,113,002200,2
252,454,48,113,002400,1
253,833,48,113,002400,3
254,1033,48,113,002400,2
255,1911,48,113,003101,1
256,649,48,113,003400,2
257,410,48,113,003400,1
258,607,48,113,003901,2
259,1098,48,113,005300,5
260,937,48,113,005300,3
261,1319,48,113,005300,2
262,1079,48,113,005300,4
263,1086,48,113,005300,1
264,1333,48,113,018118,2
265,1713,48,113,018118,3
266,579,48,113,018118,1
267,1538,48,113,018129,2
268,2189,48,113,018129,1
269,1497,48,113,019018,1
270,1169,48,113,019018,2
271,2792,48,113,001900,1
272,589,48,113,004300,1
273,408,48,113,004300,2
274,622,48,113,004300,3
275,2222,48,113,006002,1
276,1017,48,113,006002,3
277,896,48,113,019033,2
278,1022,48,113,006002,2
279,922,48,113,019033,1
280,1701,48,113,019033,3
281,584,48,113,019400,1
282,1574,48,113,019400,3
283,996,48,113,019400,2
284,464,48,113,015800,1
285,1128,48,113,015800,2
286,706,48,113,016001,4
287,636,48,113,016001,2
288,998,48,113,016001,1
289,1167,48,113,016001,3
290,1421,48,113,016202,1
291,817,48,113,016202,2
292,899,48,113,016100,2
293,827,48,113,001001,1
294,551,48,113,001001,2
295,637,48,113,001504,3
296,689,48,113,001504,1
297,336,48,113,001504,2
298,327,48,113,001504,4
299,1580,48,113,001600,2
300,2415,48,113,001600,1
301,477,48,113,001701,1
302,15,48,113,014002,1
303,1785,48,113,014123,1
304,933,48,113,014123,2
305,1090,48,113,014123,3
306,715,48,113,014123,4
307,893,48,113,015306,1
308,917,48,113,015306,3
309,2133,48,113,015306,2
310,1074,48,113,016201,3
311,1642,48,113,016201,1
312,471,48,113,016201,2
313,1892,48,113,016408,1
314,831,48,113,016408,3
315,1521,48,113,016408,2
316,1939,48,113,016408,4
317,2722,48,113,016510,2
318,2883,48,113,016510,1
319,437,48,113,016516,3
320,952,48,113,016516,4
321,802,48,113,016516,2
322,899,48,113,016516,5
323,1134,48,113,016516,1
324,3812,48,113,016605,2
325,1219,48,113,018110,1
326,1299,48,113,018110,3
327,1777,48,113,018110,2
328,756,48,113,018403,1
329,783,48,113,019019,3
330,1913,48,113,019019,1
331,2002,48,113,019019,2
332,1055,48,113,019021,6
333,686,48,113,019021,2
334,1444,48,113,019021,4
335,529,48,113,019021,5
336,982,48,113,019021,1
337,1018,48,113,019021,3
338,638,48,113,019027,1
339,782,48,113,019203,1
340,699,48,113,019203,2
341,695,48,113,019203,4
342,951,48,113,019203,3
343,2604,48,113,019206,1
344,1260,48,113,019206,4
345,1239,48,113,019206,2
346,640,48,113,019206,3
347,1340,48,113,019211,1
348,755,48,113,019211,2
349,1106,48,113,019211,3
350,531,48,113,004201,3
351,628,48,113,004201,5
352,614,48,113,004201,2
353,1005,48,113,004202,2
354,680,48,113,004202,1
355,310,48,113,004202,3
356,396,48,113,004800,2
357,591,48,113,004800,1
358,241,48,113,004800,3
359,581,48,113,004800,4
360,490,48,113,004900,3
361,301,48,113,004900,4
362,1040,48,113,004900,1
363,927,48,113,004900,2
364,1097,48,113,005500,2
365,373,48,113,005500,1
366,876,48,113,005500,3
367,1062,48,113,005500,4
