origin,Jobs,%_accesible
481130001001,17382,5.340551568184053
481130001002,48710,14.965957133025269
481130001003,66471,20.422954970012782
481130002011,84789,26.051088880149443
481130002012,83924,25.785321010716743
481130002013,83776,25.73984858912595
481130002021,124335,38.20144282764723
481130002022,85185,26.17275833251401
481130002023,123563,37.96424884475469
481130003001,92509,28.42302870907482
481130003002,93196,28.634106774161832
481130003003,114362,35.13727755382951
481130004011,166709,51.22068872283945
481130004012,159650,49.05183856061351
481130004013,160393,49.280122406842985
481130004041,122071,37.505837675744765
481130004042,169612,52.1126241274211
481130004043,158742,48.77285910923213
481130004044,159390,48.97195457673779
481130004051,159584,49.03156031855275
481130004052,159390,48.97195457673779
481130004061,112461,34.55320273326124
481130004062,111429,34.23612476649297
481130004063,58304,17.913676138039524
481130004064,111429,34.23612476649297
481130004065,116994,35.945949267525314
481130005001,159584,49.03156031855275
481130005002,159584,49.03156031855275
481130005003,159845,49.1117515485203
481130005004,159584,49.03156031855275
481130006011,115338,35.437149739455315
481130006012,115575,35.50996706321896
481130006013,121328,37.277553829515284
481130006014,115935,35.62057565627765
481130006015,159213,48.917572018483924
481130006031,125086,38.43218464261135
481130006032,124191,38.15719939042375
481130006033,159213,48.917572018483924
481130006034,125166,38.45676432995772
481130006051,159584,49.03156031855275
481130006052,158255,48.623230262511065
481130006061,125166,38.45676432995772
481130006062,157814,48.48773473601416
481130006063,158272,48.628453446072164
481130007011,125166,38.45676432995772
481130007012,177064,54.402222003736114
481130007021,114962,35.321625208927344
481130007022,114707,35.24327745551077
481130007023,114962,35.321625208927344
481130008001,114545,35.19350358863435
481130008002,153797,47.2535271851342
481130008003,127696,39.2340969422869
481130008004,154883,47.58719644086128
481130008005,128468,39.47129092517943
481130009001,114017,35.03127765214826
481130009002,114561,35.19841952610363
481130009003,127043,39.03346524432209
481130009004,127980,39.32135483236653
481130010011,127883,39.29155196145905
481130010012,87661,26.93349965588438
481130010021,114561,35.19841952610363
481130010022,127696,39.2340969422869
481130011011,129068,39.655638580277255
481130011012,124335,38.20144282764723
481130011013,124904,38.37626585389834
481130011021,84374,25.923581752040114
481130011022,108271,33.26584160849474
481130011023,109046,33.50395732966277
481130012021,41568,12.771605545177463
481130012022,119039,36.574267525317076
481130012023,118267,36.33707354242454
481130012031,119039,36.574267525317076
481130012032,119039,36.574267525317076
481130012041,118937,36.54292842395045
481130012042,118937,36.54292842395045
481130013011,106726,32.79114639661784
481130013012,106332,32.67009143643693
481130013013,107498,33.028340379510375
481130013021,107498,33.028340379510375
481130013022,130268,40.02433389047291
481130013023,106652,32.76841018582244
481130014001,130107,39.97486726968833
481130014002,130771,40.17887867466326
481130014003,124075,38.12155884377151
481130014004,124672,38.30498476059385
481130015021,113397,34.840785075213844
481130015022,119545,36.72973404778291
481130015023,113796,34.963376265853896
481130015024,119789,36.80470209418936
481130015031,128936,39.61508209615573
481130015032,128936,39.61508209615573
481130015033,129068,39.655638580277255
481130015041,129051,39.650415396716156
481130015042,129068,39.655638580277255
481130015043,130771,40.17887867466326
481130015044,130496,40.094385999410086
481130016001,177406,54.50730016714187
481130016002,177406,54.50730016714187
481130017011,196145,60.26478468193884
481130017031,158886,48.81710254645561
481130017032,174342,53.565898141775634
481130017033,159011,48.85550830793433
