Aland	Awater	Blkgrpce	Countyfp	Funcstat	Geoid	Geometry	Intptlat	Intptlon	Mtfcc	Namelsad	Number of Records	Statefp	Tractce
120547	0	1	113	S	4.8113E+11	POLYGON	32.8765812	-96.6895298	G5030	Block Group 1	1	48	13011
588065	0	3	113	S	4.8113E+11	POLYGON	32.880045	-96.6955039	G5030	Block Group 3	1	48	13011
248389	0	2	113	S	4.8113E+11	POLYGON	32.8740062	-96.6863584	G5030	Block Group 2	1	48	13011
478961	0	4	113	S	4.8113E+11	POLYGON	32.9353822	-96.7162419	G5030	Block Group 4	1	48	19040
888434	0	1	113	S	4.8113E+11	POLYGON	32.9247407	-96.7089438	G5030	Block Group 1	1	48	19018
1394016	0	3	113	S	4.8113E+11	POLYGON	32.8348682	-96.6984222	G5030	Block Group 3	1	48	8200
500878	0	2	113	S	4.8113E+11	POLYGON	32.8201353	-96.7658438	G5030	Block Group 2	1	48	1101
587696	0	3	113	S	4.8113E+11	POLYGON	32.8135464	-96.7652321	G5030	Block Group 3	1	48	1101
2039692	530047	3	113	S	4.8113E+11	POLYGON	32.8545527	-96.8703334	G5030	Block Group 3	1	48	406
590255	0	3	113	S	4.8113E+11	POLYGON	32.8063523	-96.8215969	G5030	Block Group 3	1	48	401
964984	0	2	113	S	4.8113E+11	POLYGON	32.8825454	-96.7242024	G5030	Block Group 2	1	48	13008
655335	0	4	113	S	4.8113E+11	POLYGON	32.8421445	-96.8290157	G5030	Block Group 4	1	48	7102
326103	0	5	113	S	4.8113E+11	POLYGON	32.8207918	-96.8200669	G5030	Block Group 5	1	48	601
588955	0	3	113	S	4.8113E+11	POLYGON	32.8243533	-96.8107354	G5030	Block Group 3	1	48	19800
422647	0	3	113	S	4.8113E+11	POLYGON	32.7999562	-96.7634618	G5030	Block Group 3	1	48	1302
709831	0	5	113	S	4.8113E+11	POLYGON	32.7740445	-96.7058623	G5030	Block Group 5	1	48	8400
894204	0	1	113	S	4.8113E+11	POLYGON	32.7266043	-96.6855391	G5030	Block Group 1	1	48	9301
1105506	0	4	113	S	4.8113E+11	POLYGON	32.7164247	-96.7077997	G5030	Block Group 4	1	48	9304
1053906	0	1	113	S	4.8113E+11	POLYGON	32.9028813	-96.8598029	G5030	Block Group 1	1	48	9607
685238	0	2	113	S	4.8113E+11	POLYGON	32.9202032	-96.8423126	G5030	Block Group 2	1	48	9608
1494574	0	3	113	S	4.8113E+11	POLYGON	32.9148967	-96.8229729	G5030	Block Group 3	1	48	9603
1079293	0	1	113	S	4.8113E+11	POLYGON	32.9124547	-96.8694445	G5030	Block Group 1	1	48	9605
1018919	0	3	113	S	4.8113E+11	POLYGON	32.9147677	-96.8510758	G5030	Block Group 3	1	48	9608
2350781	93995	1	113	S	4.8113E+11	POLYGON	32.7724876	-96.9160235	G5030	Block Group 1	1	48	10602
757044	0	3	113	S	4.8113E+11	POLYGON	32.6792041	-96.8103889	G5030	Block Group 3	1	48	11200
1762422	0	1	113	S	4.8113E+11	POLYGON	32.7525928	-97.0009327	G5030	Block Group 1	1	48	15500
1787535	0	1	113	S	4.8113E+11	POLYGON	32.6151652	-96.7763829	G5030	Block Group 1	1	48	16704
1485855	0	1	113	S	4.8113E+11	POLYGON	32.5967484	-96.7559781	G5030	Block Group 1	1	48	16803
2447657	0	2	113	S	4.8113E+11	POLYGON	32.7722855	-96.6410428	G5030	Block Group 2	1	48	17602
509439	0	3	113	S	4.8113E+11	POLYGON	32.7946853	-96.6494265	G5030	Block Group 3	1	48	17804
1444211	0	1	113	S	4.8113E+11	POLYGON	32.8167007	-96.623285	G5030	Block Group 1	1	48	17812
943270	5950	2	113	S	4.8113E+11	POLYGON	32.891702	-96.6154174	G5030	Block Group 2	1	48	18205
1519331	0	4	113	S	4.8113E+11	POLYGON	32.9146078	-96.6198192	G5030	Block Group 4	1	48	18105
580358	0	1	113	S	4.8113E+11	POLYGON	32.8543619	-96.6378677	G5030	Block Group 1	1	48	18127
936739	0	2	113	S	4.8113E+11	POLYGON	32.8503153	-96.6202372	G5030	Block Group 2	1	48	18129
1400116	0	1	113	S	4.8113E+11	POLYGON	32.8724239	-96.6371727	G5030	Block Group 1	1	48	18402
808901	0	1	113	S	4.8113E+11	POLYGON	32.9003519	-96.6536013	G5030	Block Group 1	1	48	18600
665683	0	5	113	S	4.8113E+11	POLYGON	32.9038589	-96.6340021	G5030	Block Group 5	1	48	18700
583693	0	3	113	S	4.8113E+11	POLYGON	32.9203107	-96.696507	G5030	Block Group 3	1	48	19032
653496	0	3	113	S	4.8113E+11	POLYGON	32.9128143	-96.6963221	G5030	Block Group 3	1	48	19033
