"","origin","Jobs"
"1",481130001001,3787
"2",481130001002,10892
"3",481130001003,14189
"4",481130002011,43137
"5",481130002012,68641
"6",481130002013,89113
"7",481130002021,137495
"8",481130002022,95994
"9",481130002023,107726
"10",481130003001,129406
"11",481130003002,124065
"12",481130003003,136651
"13",481130004011,279727
"14",481130004012,160210
"15",481130004013,186948
"16",481130004041,158940
"17",481130004042,219549
"18",481130004043,104924
"19",481130004044,147310
"20",481130004051,162447
"21",481130004052,174385
"22",481130004061,104017
"23",481130004062,91457
"24",481130004063,67880
"25",481130004064,83946
"26",481130004065,113745
"27",481130005001,190506
"28",481130005002,192764
"29",481130005003,190761
"30",481130005004,218695
"31",481130006011,102951
"32",481130006012,116980
"33",481130006013,168615
"34",481130006014,123877
"35",481130006015,142251
"36",481130006031,140820
"37",481130006032,128154
"38",481130006033,161585
"39",481130006034,214765
"40",481130006051,226559
"41",481130006052,223346
"42",481130006061,186210
"43",481130006062,217254
"44",481130006063,250033
"45",481130007011,238161
"46",481130007012,260064
"47",481130007021,148738
"48",481130007022,134474
"49",481130007023,174377
"50",481130008001,148150
"51",481130008002,158654
"52",481130008003,160620
"53",481130008004,234868
"54",481130008005,230544
"55",481130009001,135317
"56",481130009002,142190
"57",481130009003,151873
"58",481130009004,189376
"59",481130010011,153517
"60",481130010012,119235
"61",481130010021,121760
"62",481130010022,184425
"63",481130011011,220487
"64",481130011012,132601
"65",481130011013,151820
"66",481130011021,45138
"67",481130011022,69537
"68",481130011023,139571
"69",481130012021,8528
"70",481130012022,97296
"71",481130012023,33295
"72",481130012031,174517
"73",481130012032,135411
"74",481130012041,95436
"75",481130012042,97525
"76",481130013011,81829
"77",481130013012,48451
"78",481130013013,125456
"79",481130013021,153256
"80",481130013022,200558
"81",481130013023,132687
"82",481130014001,168213
"83",481130014002,205700
"84",481130014003,118345
"85",481130014004,130482
"86",481130015021,127591
"87",481130015022,228197
"88",481130015023,192151
"89",481130015024,198934
"90",481130015031,197906
"91",481130015032,223939
"92",481130015033,266668
"93",481130015041,219248
"94",481130015042,228266
"95",481130015043,213749
"96",481130015044,245679
"97",481130016001,267511
"98",481130016002,263688
"99",481130017011,319656
"100",481130017031,232416
"101",481130017032,241665
"102",481130017033,230287
"103",481130017041,285055
"104",481130017042,248048
"105",481130018001,294021
"106",481130018002,265787
"107",481130019001,298185
"108",481130019002,277606
"109",481130020001,102422
"110",481130020002,184075
"111",481130020003,186967
"112",481130020004,132684
"113",481130020005,187803
"114",481130021001,320178
"115",481130021002,327293
"116",481130022001,249485
"117",481130022002,174920
"118",481130024001,160200
"119",481130024002,189203
"120",481130024003,176065
"121",481130025001,28328
"122",481130025002,26935
"123",481130025003,95383
"124",481130025004,201113
"125",481130027011,6389
"126",481130027012,6213
"127",481130027013,19356
"128",481130027014,18978
"129",481130027021,46795
"130",481130027022,14828
"131",481130031011,333606
"132",481130031012,339182
"133",481130034001,119628
"134",481130034002,149283
"135",481130037001,98325
"136",481130037002,153110
"137",481130037003,77683
"138",481130037004,105952
"139",481130038001,79869
"140",481130038002,37043
"141",481130038003,83245
"142",481130039011,17727
"143",481130039012,17151
"144",481130039021,31079
"145",481130039022,48567
"146",481130040001,66325
"147",481130040002,2966
"148",481130041001,66870
"149",481130041002,53408
"150",481130042011,130377
"151",481130042012,81734
"152",481130042013,170944
"153",481130042014,128537
"154",481130042015,125553
"155",481130042021,157637
"156",481130042022,61518
"157",481130042023,54250
"158",481130043001,198143
"159",481130043002,187991
"160",481130043003,104989
"161",481130044001,165402
"162",481130044002,94290
"163",481130044003,121933
"164",481130045001,68840
"165",481130045002,24417
"166",481130045003,23714
"167",481130045004,19980
"168",481130046001,121614
