,workforce,GeoId
1,5064,481130167034
2,672,481130167031
3,1371,481130167032
4,602,481130167033
5,598,481130174001
6,885,481130174003
7,2211,481130174004
8,552,481130174002
9,863,481130178041
10,2111,481130178044
11,803,481130178042
12,1611,481130178043
13,1292,481130178131
14,941,481130178133
15,1435,481130178134
16,1427,481130178132
17,1551,481130184012
18,1031,481130184011
19,971,481130184013
20,722,481130190161
21,1030,481130190162
22,746,481130054002
23,1110,481130054004
24,1817,481130054001
25,932,481130076011
26,758,481130076012
27,1027,481130091032
28,1514,481130091031
29,890,481130094022
30,1098,481130094021
31,978,481130096101
32,1468,481130096102
33,880,481130098023
34,1057,481130098021
35,1249,481130098022
36,607,481130098024
37,2405,481130164101
38,1210,481130160022
39,1442,481130164092
40,1469,481130164091
41,1115,481130164102
42,661,481130165025
43,1740,481130165023
44,1539,481130165022
45,275,481130165021
46,531,481130165024
47,1056,481130165184
48,1008,481130165181
49,581,481130165183
50,1060,481130165182
51,1348,481130183003
52,950,481130183005
53,954,481130187001
54,1270,481130183004
55,741,481130183001
56,1150,481130187004
57,896,481130187003
58,771,481130190163
59,1903,481130190311
60,2227,481130170042
61,1615,481130170041
62,867,481130173013
63,2326,481130173012
64,1124,481130173011
65,477,481130178111
66,1674,481130178113
67,1063,481130178112
68,1503,481130178142
69,1090,481130178143
70,1898,481130178141
71,655,481130179003
72,703,481130179002
73,914,481130179001
74,1473,481130179004
75,1423,481130156002
76,1301,481130156001
77,1324,481130156003
78,2458,481130163012
79,1650,481130163013
80,1276,481130163011
81,1465,481130164072
82,2165,481130164071
83,781,481130164073
84,1383,481130190314
85,732,481130190312
86,836,481130190313
87,936,481130190321
88,321,481130190322
89,1108,481130098025
90,566,481130011022
91,1142,481130107032
92,999,481130107031
93,881,481130011023
94,735,481130011021
95,1037,481130015031
96,681,481130015033
97,617,481130007023
98,1331,481130007021
99,976,481130007022
100,1674,481130008002
101,1303,481130008004
102,638,481130008005
103,971,481130008003
104,1432,481130008001
105,1401,481130166183
106,1255,481130166181
107,1213,481130166182
108,2773,481130170033
109,1717,481130170031
110,2301,481130170032
111,1667,481130170034
112,1235,481130172023
113,1138,481130172022
114,1616,481130172024
115,1606,481130172021
116,1781,481130173033
117,2010,481130173032
118,1745,481130173031
119,1992,481130173061
120,1286,481130173062
121,587,481130178081
122,2033,481130178083
123,820,481130178082
124,927,481130192046
125,965,481130147014
126,555,481130147012
127,869,481130147011
128,967,481130147013
129,1849,481130143082
130,906,481130143081
131,1396,481130144063
132,1358,481130144061
133,604,481130144062
