origin,Jobs,%_accesible
481130001001,12447,6.5292655035303255
481130001002,30409,15.951509174648804
481130001003,37245,19.537438232424435
481130002011,52147,27.35451178698448
481130002012,51436,26.981545789313554
481130002013,51217,26.866665967246135
481130002021,71519,37.516392668674
481130002022,52378,27.47568639382272
481130002023,71348,37.42669198568986
481130003001,57615,30.222835380886938
481130003002,58156,30.506625260971287
481130003003,67388,35.34941301132012
481130004011,90832,47.647324191907
481130004012,85657,44.93269825949201
481130004013,86368,45.305664257162945
481130004041,62752,32.917527828194345
481130004042,92939,48.75258348458302
481130004043,85206,44.69611926518879
481130004044,85410,44.80313060629268
481130004051,85565,44.88443824291574
481130004052,85410,44.80313060629268
481130004061,55722,29.229833083290497
481130004062,54680,28.68323593902452
481130004063,28007,14.691503089690192
481130004064,54680,28.68323593902452
481130004065,59234,31.072106759549712
481130005001,85565,44.88443824291574
481130005002,85565,44.88443824291574
481130005003,86106,45.16822812300009
481130005004,85565,44.88443824291574
481130006011,58873,30.882738651027626
481130006012,59682,31.30711205766023
481130006013,62338,32.70035775360114
481130006014,59951,31.448220149606048
481130006015,85458,44.828309745375954
481130006031,67728,35.52776524649328
481130006032,67281,35.293284513780335
481130006033,85458,44.828309745375954
481130006034,67803,35.567107651310884
481130006051,85565,44.88443824291574
481130006052,84607,44.38190459204549
481130006061,67803,35.567107651310884
481130006062,84396,44.27122129315862
481130006063,84615,44.38610111522603
481130007011,67803,35.567107651310884
481130007012,99543,52.21681337012285
481130007021,67703,35.51465111155408
481130007022,67643,35.48317718769999
481130007023,67703,35.51465111155408
481130008001,67308,35.307447779514675
481130008002,87169,45.725841140614996
481130008003,73663,38.64106088106004
481130008004,87523,45.911537291354115
481130008005,73822,38.72446677927337
481130009001,67018,35.15532381421992
481130009002,67312,35.309546041104944
481130009003,73241,38.4196942832863
481130009004,73646,38.63214326930138
481130010011,73961,38.79738136953534
481130010012,55121,28.914569279352058
481130010021,67312,35.309546041104944
481130010022,73651,38.634766096289226
481130011011,74434,39.04550080258506
481130011012,71519,37.516392668674
481130011013,72041,37.79021580620456
481130011021,51770,27.156750632101307
481130011022,63507,33.31357470335827
481130011023,63748,33.43999496417218
481130012021,22862,11.99261411920224
481130012022,65455,34.33542809782096
481130012023,65284,34.24572741483681
481130012031,65455,34.33542809782096
481130012032,65455,34.33542809782096
481130012041,65403,34.30815069714742
481130012042,65403,34.30815069714742
481130013011,58122,30.488790037453967
481130013012,57890,30.367090865218167
481130013013,58293,30.57849072043812
481130013021,58293,30.57849072043812
481130013022,75654,39.68547058761816
481130013023,58101,30.477774164105035
481130014001,75627,39.671307321883816
481130014002,75827,39.776220401397445
481130014003,71665,37.592979216718945
481130014004,72188,37.86732691964707
481130015021,61750,32.39191329983109
481130015022,64437,33.80142052309662
481130015023,61866,32.45276288594899
481130015024,64611,33.89269490227347
481130015031,74368,39.01087948634556
481130015032,74368,39.01087948634556
481130015033,74434,39.04550080258506
481130015041,74402,39.028714709862875
481130015042,74434,39.04550080258506
481130015043,75827,39.776220401397445
481130015044,75417,39.56114858839451
481130016001,100311,52.61967959545516
481130016002,100311,52.61967959545516
481130017011,113090,59.323100810978104
481130017031,85205,44.69559469979122
481130017032,95489,50.090225248381714
481130017033,85312,44.75172319733101
481130017041,96483,50.611643253564424
481130017042,102619,53.830376533042376
481130018001,85065,44.62215554413169
481130018002,95931,50.32208315410682
481130019001,102531,53.78421477805638
481130019002,93956,49.2860664939098
481130020001,54943,28.821196638584933
481130020002,78217,41.029931701585234
481130020003,93333,48.959262251224864
481130020004,71166,37.33122108333246
481130020005,78110,40.97380320404545
481130021001,101122,53.0451021328829
481130021002,107571,56.42802438179968
481130022001,78846,41.35988333665558
481130022002,63143,33.122632898643474
481130024001,61031,32.01475077897962
481130024002,66199,34.72570475361163
481130024003,65451,34.33332983623068
481130025001,27695,14.52783868564894
481130025002,27406,14.376239285751755
481130025003,59862,31.40153382922249
481130025004,69779,36.60364887690548
481130027011,23476,12.314697273309063
481130027012,20266,10.630842347115415
481130027013,24301,12.747463726302758
481130027014,42025,22.044860832800026
481130027021,53355,27.988186787246764
481130027022,19598,10.280432661539914
481130031011,94064,49.34271955684715
481130031012,96027,50.37244143227336
481130034001,57563,30.195557980213394
481130034002,57571,30.19975450339394
481130037001,51889,27.21917391441191
481130037002,57488,30.156215575395784
481130037003,40126,21.048711142818174
481130037004,50023,26.24033488254981
481130038001,50030,26.244006840332784
481130038002,47862,25.106749058405107
