"","origin","Jobs"
"289","481130065011",9270
"290","481130065012",6402
"291","481130065013",15845
"292","481130065021",18891
"293","481130065022",9801
"294","481130065023",20524
"295","481130067001",36842
"296","481130067002",8952
"297","481130067003",16545
"298","481130067004",42135
"299","481130068001",34441
"300","481130068002",44944
"301","481130068003",180553
"302","481130069001",44804
"303","481130069002",12684
"304","481130069003",22495
"305","481130071011",96844
"306","481130071012",14642
"307","481130071021",28506
"308","481130071022",28506
"309","481130071023",27962
"310","481130071024",27838
"311","481130071025",15738
"312","481130072011",12593
"313","481130072012",19829
"314","481130072013",12103
"315","481130072014",12936
"316","481130072015",22229
"317","481130072021",19829
"318","481130072022",19829
"319","481130072023",19829
"320","481130072024",19829
"321","481130072025",21110
"322","481130073011",50184
"323","481130073012",98292
"324","481130073021",32500
"325","481130073022",57370
"326","481130073023",102620
"327","481130073024",39058
"328","481130076011",4404
"329","481130076012",13504
"330","481130076041",15588
"331","481130076042",100150
"332","481130076043",31332
"333","481130076051",31412
"334","481130076052",46362
"335","481130077001",47252
"336","481130077002",55458
"337","481130077003",56290
"338","481130077004",51023
"339","481130078011",79872
"340","481130078012",129656
"341","481130078041",72076
"342","481130078042",13248
"343","481130078043",89672
"344","481130078044",13616
"345","481130078051",22332
"346","481130078052",143128
"347","481130078053",66662
"348","481130078091",102719
"349","481130078092",75102
"350","481130078102",68482
"351","481130078103",11206
"352","481130078104",15628
"353","481130078111",40966
"354","481130078112",37708
"355","481130078113",119709
"356","481130078114",101496
"357","481130078121",32008
"358","481130078122",27784
"359","481130078151",83921
"360","481130078152",84652
"361","481130078153",84690
"362","481130078181",73825
"363","481130078182",76195
"364","481130078183",98950
"365","481130078184",82955
"366","481130078191",156064
"367","481130078192",96893
"368","481130078201",53872
"369","481130078202",70700
"370","481130078203",75428
"371","481130078211",62981
"372","481130078212",84797
"373","481130078213",76233
"374","481130078221",79433
"375","481130078222",74809
"376","481130078231",48447
"377","481130078232",84652
"378","481130078233",74729
"379","481130078241",29328
"380","481130078242",26740
"381","481130078251",10986
"382","481130078252",20156
"383","481130078253",47737
"384","481130078254",19360
"385","481130078255",63466
"386","481130078261",60844
"387","481130078271",123798
"388","481130078272",54058
"389","481130078273",59376
"390","481130079021",8734
"391","481130079022",26095
"392","481130079023",25196
"393","481130079024",205636
"394","481130079025",54125
"395","481130079031",168296
"396","481130079032",160650
"397","481130079061",80689
"398","481130079062",192694
"399","481130079091",81109
"400","481130079092",106905
"401","481130079101",97775
"402","481130079102",97643
"403","481130079111",79117
"404","481130079112",89784
"405","481130079121",89895
"406","481130079122",75794
"407","481130079131",79211
"408","481130079132",81314
"409","481130079133",78705
"410","481130079141",154634
"411","481130079142",76360
"412","481130080001",6404
"413","481130080002",9436
"414","481130080003",8850
"415","481130080004",2508
"416","481130080005",11245
"417","481130080006",15745
"418","481130081001",8397
"419","481130081002",10294
"420","481130081003",14534
"421","481130081004a",7755
"422","481130081004b",15962
"423","481130081005",4515
"424","481130082001",11399
"425","481130082002",18272
"426","481130082003",12959
"427","481130082004",29387
"428","481130084001",6380
"429","481130084002",10187
"430","481130084003",6856
"431","481130084004",9481
"432","481130084005",21441
"433","481130084006",8570
"434","481130084007",20092
"435","481130085001",17764
"436","481130085002",18519
"437","481130085003",20319
"438","481130085004",32761
"439","481130086031",4026
"440","481130086032",5831
"441","481130086041",4142
"442","481130086042",3218
"443","481130087011",4590
"444","481130087012",2431
"445","481130087013",2549
"446","481130087014",4418
"447","481130087015",10942
"448","481130087031",4813
"449","481130087032",4752
"450","481130087041",3946
"451","481130087042",5966
"452","481130087043",2424
"453","481130087051",5282
"454","481130087052",4634
"455","481130088011",10764
"456","481130088012",10963
"457","481130088013",9213
"458","481130088021",5165
"459","481130088022",5854
"460","481130088023",20139
"461","481130088024",6323
"462","481130088025",5185
"463","481130088026",4938
"464","481130089001",11933
"465","481130089002",16905
"466","481130089003",33308
"467","481130090001",15133
"468","481130090002",29908
"469","481130090003",37606
"470","481130090004",15124
"471","481130090005",33265
"472","481130091011",25319
"473","481130091012",24343
"474","481130091013",27957
"475","481130091014",28503
"476","481130091031",2004
"477","481130091032",4759
"478","481130091041",8328
"479","481130091042",19428
"480","481130091051",2406
"481","481130091052",6022
"482","481130091053",20569
"483","481130092011",7986
"484","481130092012",8040
"485","481130092013",6169
"486","481130092014",4870
"487","481130092015",5956
"488","481130092021",2975
"489","481130092022",7391
"490","481130092023",7658
"491","481130093011",9754
"492","481130093012",4098
"493","481130093013",9311
"494","481130093031",970
"495","481130093032",646
"496","481130093033",810
"497","481130093041",5866
"498","481130093042",6536
"499","481130093043",3095
"500","481130093044",6327
"501","481130094011",12516
"502","481130094012",14124
"503","481130094013",19208
"504","481130094021",19550
"505","481130094022",23260
"506","481130095001",7666
"507","481130095002",12842
"508","481130096031",32832
"509","481130096032",31791
"510","481130096033",52924
"511","481130096041a",65830
"512","481130096041b",73482
"513","481130096042",57176
"514","481130096043",40860
"515","481130096044",73460
"516","481130096051",103460
"517","481130096052",105820
"518","481130096071",63240
"519","481130096072",83448
"520","481130096073",54432
"521","481130096081",61532
"522","481130096082",24666
"523","481130096083",30686
"524","481130096091",18074
"525","481130096092",38210
"526","481130096093",22966
"527","481130096094",14442
"528","481130096101",57284
"529","481130096102",57284
"530","481130096103",25682
"531","481130096111",93426
"532","481130096112",42509
"533","481130096113",40883
"534","481130097011",34967
"535","481130097012",43224
"536","481130097013",42036
"537","481130097021",15394
"538","481130097022",27620
"539","481130098021",41642
"540","481130098022",21317
"541","481130098023",22771
"542","481130098024",20554
"543","481130098025",13544
"544","481130098031",47402
"545","481130098032",32578
"546","481130098033",20574
"547","481130098041",19621
"548","481130098042",17973
"549","481130098043",21272
"550","481130098044",17279
"551","481130099002",316264
"552","481130100001",1018264
"553","481130100002",548344
"554","481130101011",173133
"555","481130101012",173133
"556","481130101013",54639
"557","481130101021",538983
"558","481130101022",300080
"559","481130101023",538983
"560","481130105001",130582
"561","481130105002",136739
"562","481130106011",4486
"563","481130106012",2734
"564","481130106013",15922
"565","481130106021",4486
"566","481130106022",4486
"567","481130107011",9810
"568","481130107012",9476
"569","481130107031",10233
"570","481130107032",10233
"571","481130107041",6529
"572","481130107042",9876
"573","481130108011",10288
"574","481130108012",6760
"575","481130108013",4750
"576","481130108014",3447
"577","481130108031",15506
"578","481130108032",11668
"579","481130108033",7404
"580","481130108034",126
"581","481130108035",7648
"582","481130108036",22770
"583","481130108041",37114
"584","481130108042",9319
"585","481130108051",18741
"586","481130108052",20706
"587","481130108053",8889
"588","481130109021",1867
"589","481130109022",20633
"590","481130109023",20633
"591","481130109031",146908
"592","481130109032",29180
"593","481130109041",43442
"594","481130109042",80472
"595","481130110011",49854
"596","481130110012",13662
"597","481130110013",27006
"598","481130110014",7622
"599","481130110015",4485
"600","481130110016",4363
"601","481130110021",2924
"602","481130110022",12064
"603","481130110023",8213
"604","481130111011",8726
"605","481130111012",7352
"606","481130111013",971
"607","481130111031",2280
"608","481130111032a",2280
"609","481130111032b",3186
"610","481130111033",3609
"611","481130111041",3573
"612","481130111042",3573
"613","481130111043",3573
"614","481130111044",2398
"615","481130111051",956
"616","481130111052",3573
"617","481130111053",967
"618","481130112001",3058
"619","481130112002",15624
"620","481130112003",5264
"621","481130113001",3522
"622","481130113002",2549
"623","481130113003",1129
"624","481130114011",3618
"625","481130114012",2198
"626","481130114013",2314
"627","481130115001",7810
"628","481130115002",7881
"629","481130115003",55372
"630","481130115004",110744
"631","481130116011",5715
"632","481130116012",1112
"633","481130116013",3194
"634","481130116021",1638
"635","481130116022",1198
"636","481130116023",2208
"637","481130116024",5967
"638","481130117011",4759
"639","481130117012",4749
"640","481130117013",6124
"641","481130117014",3990
"642","481130117022",2122
"643","481130117023",5358
"644","481130118002",2376
"645","481130118003",8506
"646","481130118004",7681
"647","481130118005",1345
"648","481130119001",4040
"649","481130119002",17499
"650","481130119003",14247
"651","481130119004",4300
"652","481130119006",4356
"653","481130120001",33938
"654","481130120002",36497
"655","481130120003",26958
"656","481130120004",28654
"657","481130121001",25376
"658","481130121002",25264
"659","481130121003",10464
"660","481130122041",252233
"661","481130122042",248518
"662","481130122043",251065
"663","481130122044",140200
"664","481130122045",253550
"665","481130122061",11592
"666","481130122062",19965
"667","481130122063",19840
"668","481130122071",25110
"669","481130122072",60720
"670","481130122073",26694
"671","481130122081",242254
"672","481130122082",245062
"673","481130122091",14438
"674","481130122092",242254
"675","481130122101",20822
"676","481130122102a",26678
"677","481130122102b",17694
"678","481130122111",23738
"679","481130122112",26545
"680","481130122113",28434
"681","481130123011",12774
"682","481130123012",20214
"683","481130123013",28315
"684","481130123021",12341
"685","481130123022",16669
"686","481130123023",31058
"687","481130124001",7814
